Price,Open,Open,High,High,Low,Low,Close,Close,Volume,Volume
Ticker,CR,WI,CR,WI,CR,WI,CR,WI,CR,WI
Date,,,,,,,,,,
2024-12-18 19:00:00-05:00,154.45180802546804,,156.48119756107513,,151.45748166854506,,151.73602294921875,,269400,
2024-12-19 19:00:00-05:00,150.22391743420883,,153.39731443311436,,149.69667754441647,,152.00460815429688,,894000,
2024-12-22 19:00:00-05:00,150.84069842641946,,153.3127634240115,,150.22391550000455,,152.24334716796875,,195400,
2024-12-23 19:00:00-05:00,151.8852184241635,,155.06857299804688,,151.45746407117167,,155.06857299804688,,126700,
2024-12-25 19:00:00-05:00,154.3921232649951,,156.11311372160705,,153.37742849398214,,155.60577392578125,,201800,
2024-12-26 19:00:00-05:00,154.36226489266903,,156.1528980766724,,151.920042508,,153.138671875,,150300,
2024-12-29 19:00:00-05:00,151.70618053636662,,152.6114472894992,,149.2987793618375,,151.39779663085938,,135000,
2024-12-30 19:00:00-05:00,152.84024422524936,,154.09367997708688,,150.23388718821022,,150.9600830078125,,231300,
2025-01-01 19:00:00-05:00,151.34804185628428,,153.07898983358183,,149.0998116434028,,150.19407653808594,,209000,
2025-01-02 19:00:00-05:00,150.5422657352336,,154.7104574575178,,149.04013138278302,,154.31253051757812,,226200,
2025-01-05 19:00:00-05:00,154.35233260929272,,155.73708498191,,151.2485631588491,,152.67112731933594,,196700,
2025-01-06 19:00:00-05:00,153.05909623352872,,153.18842438763176,,150.51242451167747,,151.606689453125,,267900,
2025-01-07 19:00:00-05:00,149.97522456618807,,152.99940857268933,,148.56261809211784,,152.86013793945312,,178300,
2025-01-09 19:00:00-05:00,148.57257566072323,,150.6914777808372,,148.3636621213179,,149.54747009277344,,165400,
2025-01-12 19:00:00-05:00,147.33904011794291,,151.07946263636146,,146.0219268662205,,150.78103637695312,,165000,
2025-01-13 19:00:00-05:00,151.90510992276052,,153.91957779750888,,149.3882811712589,,150.07469177246094,,275300,
2025-01-14 19:00:00-05:00,153.58633135939212,,155.05862305651576,,151.70617025002525,,153.9444580078125,,194800,
2025-01-15 19:00:00-05:00,154.6209232212865,,155.96390205366265,,153.4908501137889,,154.6408233642578,,126600,
2025-01-16 19:00:00-05:00,155.98378114334386,,158.2419689159112,,153.71565089031355,,155.1879425048828,,363400,
2025-01-20 19:00:00-05:00,157.42624224674435,,162.052030970876,,156.70998893496954,,161.6143341064453,,286700,
2025-01-21 19:00:00-05:00,161.78344310185867,,163.4447481847704,,160.32109389378567,,161.0273895263672,,176700,
2025-01-22 19:00:00-05:00,160.16191999790192,,163.16620374125105,,160.16191999790192,,162.06198120117188,,242500,
2025-01-23 19:00:00-05:00,162.59916954662708,,164.80761470795144,,159.46557272063578,,160.83837890625,,490400,
2025-01-26 19:00:00-05:00,158.9681818871363,,159.7232336685168,,153.93452358374773,,155.62567138671875,,522700,
2025-01-27 19:00:00-05:00,163.69345467971795,,176.76505513361997,,162.60913220734804,,174.89483642578125,,739700,
2025-01-28 19:00:00-05:00,174.41734664024005,,176.0786518731127,,169.89102797712104,,169.90097045898438,,401700,
2025-01-29 19:00:00-05:00,173.9298913278736,,175.90953812733358,,169.54981064653475,,170.74655151367188,,296600,
2025-01-30 19:00:00-05:00,171.5324279661873,,171.5324279661873,,168.6276295155036,,169.4334259033203,,344300,
2025-02-02 19:00:00-05:00,166.64800466839378,,170.73661130301983,,165.15581268757202,,168.42868041992188,,228600,
2025-02-03 19:00:00-05:00,167.76216957533484,,170.61722537035726,,167.0598508653475,,170.33868408203125,,172100,
2025-02-04 19:00:00-05:00,171.86070765812116,,173.4125999669655,,169.7955252642433,,172.32826232910156,,202700,
