Ticker,Company,Sector
A200,BetaShares Australia 200 ETF,Unknown
A2M,The a2 Milk Company Ltd,Unknown
AAA,Betashares Australian High Interest Cash ETF,Unknown
ABC,Adbri Ltd,Unknown
ABP,Abacus Property Group,Unknown
AFI,Australian Foundation Investment Company Ltd,Unknown
AGL,AGL Energy Ltd,Unknown
AIA,Auckland International Airport Ltd,Unknown
ALD,Ampol Ltd,Unknown
ALL,Aristocrat Leisure Ltd,Unknown
ALQ,Als Ltd,Unknown
ALU,Altium Ltd,Unknown
ALX,Atlas Arteria,Unknown
AMC,Amcor Plc,Unknown
AMP,AMP Ltd,Unknown
ANN,Ansell Ltd,Unknown
ANZ,Australia and New Zealand Banking Group Ltd,Unknown
APA,APA Group,Unknown
APE,Eagers Automotive Ltd,Unknown
APT,Afterpay Ltd,Unknown
APX,Appen Ltd,Unknown
ARB,ARB Corporation Ltd,Unknown
ARG,Argo Investments Ltd,Unknown
ASIA,BetaShares Asia Technology Tigers ETF,Unknown
AST,Ausnet Services Ltd,Unknown
ASX,ASX Ltd,Unknown
AWC,Alumina Ltd,Unknown
AZJ,Aurizon Holdings Ltd,Unknown
BAP,Bapcor Ltd,Unknown
BBOZ,BetaShares Australian Equities Strong Bear,Unknown
BEAR,BetaShares Australian Equities Bear,Unknown
BEN,Bendigo and Adelaide Bank Ltd,Unknown
BGA,Bega Cheese Ltd,Unknown
BHP,BHP Group Ltd,Unknown
BIN,Bingo Industries Ltd,Unknown
BKW,Brickworks Ltd,Unknown
BLD,Boral Ltd,Unknown
BOQ,Bank of Queensland Ltd,Unknown
BPT,Beach Energy Ltd,Unknown
BRG,Breville Group Ltd,Unknown
BSL,Bluescope Steel Ltd,Unknown
BWP,BWP Trust,Unknown
BXB,Brambles Ltd,Unknown
CAR,Carsales.com Ltd,Unknown
CBA,Commonwealth Bank of Australia,Unknown
CCL,Coca-Cola Amatil Ltd,Unknown
CCP,Credit Corp Group Ltd,Unknown
CDA,Codan Ltd,Unknown
CGF,Challenger Ltd,Unknown
CHC,Charter Hall Group,Unknown
CHN,Chalice Mining Ltd,Unknown
CIA,Champion Iron Ltd,Unknown
CIM,Cimic Group Ltd,Unknown
CLW,Charter Hall Long Wale REIT,Unknown
CMW,Cromwell Property Group,Unknown
CNU,Chorus Ltd,Unknown
COH,Cochlear Ltd,Unknown
COL,Coles Group Ltd,Unknown
CPU,Computershare Ltd,Unknown
CQR,Charter Hall Retail REIT,Unknown
CSL,CSL Ltd,Unknown
CSR,CSR Ltd,Unknown
CTD,Corporate Travel Management Ltd,Unknown
CWN,Crown Resorts Ltd,Unknown
CWY,Cleanaway Waste Management Ltd,Unknown
DEG,De Grey Mining Ltd,Unknown
DHG,Domain Holdings Australia Ltd,Unknown
DHHF,BetaShares Diversified All Growth ETF,Unknown
DMP,Domino's PIZZA Enterprises Ltd,Unknown
DOW,Downer Edi Ltd,Unknown
DRR,Deterra Royalties Ltd,Unknown
DXS,Dexus,Unknown
EBO,Ebos Group Ltd,Unknown
ELD,Elders Ltd,Unknown
EML,EML Payments Ltd,Unknown
ETHI,BetaShares Global Sustainability Leaders ETF,Unknown
EVN,Evolution Mining Ltd,Unknown
EVT,Event Hospitality and Entertainment Ltd,Unknown
FBU,Fletcher Building Ltd,Unknown
FLT,Flight Centre Travel Group Ltd,Unknown
FMG,Fortescue Metals Group Ltd,Unknown
FPH,Fisher & Paykel Healthcare Corporation Ltd,Unknown
GMG,Goodman Group,Unknown
GNE,Genesis Energy Ltd,Unknown
GOLD,ETFS Physical Gold,Unknown
GOZ,Growthpoint Properties Australia,Unknown
GPT,GPT Group,Unknown
GXY,Galaxy Resources Ltd,Unknown
HACK,BetaShares Global Cybersecurity ETF,Unknown
HLS,Healius Ltd,Unknown
HVN,Harvey Norman Holdings Ltd,Unknown
IAG,Insurance Australia Group Ltd,Unknown
IEL,Idp Education Ltd,Unknown
IFL,IOOF Holdings Ltd,Unknown
IFT,Infratil Ltd,Unknown
IGO,IGO Ltd,Unknown
ILU,Iluka Resources Ltd,Unknown
IOO,Ishares Global 100 ETF,Unknown
IOZ,Ishares Core S&P/ASX 200 ETF,Unknown
IPL,Incitec Pivot Ltd,Unknown
IRE,Iress Ltd,Unknown
IVV,Ishares S&P 500 ETF,Unknown
JBH,JB Hi-Fi Ltd,Unknown
JHX,James Hardie Industries Plc,Unknown
LFG,Liberty Financial Group,Unknown
LFS,Latitude Group Holdings Ltd,Unknown
LLC,Lendlease Group,Unknown
LNK,Link Administration Holdings Ltd,Unknown
LYC,Lynas Rare EARTHS Ltd,Unknown
MCY,Mercury NZ Ltd,Unknown
MEZ,Meridian Energy Ltd,Unknown
MFG,Magellan Financial Group Ltd,Unknown
MGR,Mirvac Group,Unknown
MIN,Mineral Resources Ltd,Unknown
MLT,Milton Corporation Ltd,Unknown
MP1,Megaport Ltd,Unknown
MPL,Medibank Private Ltd,Unknown
MQG,Macquarie Group Ltd,Unknown
MTS,Metcash Ltd,Unknown
NAB,National Australia Bank Ltd,Unknown
NCM,Newcrest Mining Ltd,Unknown
NDQ,BetaShares NASDAQ 100 ETF,Unknown
NEC,Nine Entertainment Co. Holdings Ltd,Unknown
NHF,Nib Holdings Ltd,Unknown
NIC,Nickel Mines Ltd,Unknown
NSR,National Storage REIT,Unknown
NST,Northern Star Resources Ltd,Unknown
NUF,Nufarm Ltd,Unknown
NWL,Netwealth Group Ltd,Unknown
NXT,NEXTDC Ltd,Unknown
ORA,Orora Ltd,Unknown
ORE,Orocobre Ltd,Unknown
ORG,Origin Energy Ltd,Unknown
ORI,Orica Ltd,Unknown
OSH,Oil Search Ltd,Unknown
OZL,OZ Minerals Ltd,Unknown
PBH,Pointsbet Holdings Ltd,Unknown
PDL,Pendal Group Ltd,Unknown
PLS,Pilbara Minerals Ltd,Unknown
PME,Pro Medicus Ltd,Unknown
PMV,Premier Investments Ltd,Unknown
PNI,Pinnacle Investment Management Group Ltd,Unknown
PNV,Polynovo Ltd,Unknown
PPT,Perpetual Ltd,Unknown
PTM,Platinum Asset Management Ltd,Unknown
QAN,Qantas Airways Ltd,Unknown
QAU,BetaShares Gold Bullion ETF - Currency Hedged,Unknown
QBE,QBE Insurance Group Ltd,Unknown
QUB,QUBE Holdings Ltd,Unknown
REA,REA Group Ltd,Unknown
REH,Reece Ltd,Unknown
RHC,Ramsay Health Care Ltd,Unknown
RIO,RIO Tinto Ltd,Unknown
RMD,Resmed Inc,Unknown
RRL,Regis Resources Ltd,Unknown
RWC,Reliance Worldwide Corporation Ltd,Unknown
S32,SOUTH32 Ltd,Unknown
SCG,Scentre Group,Unknown
SCP,Shopping Centres Australasia Property Group,Unknown
SDF,Steadfast Group Ltd,Unknown
SEK,Seek Ltd,Unknown
SGM,Sims Ltd,Unknown
SGP,Stockland,Unknown
SGR,The Star Entertainment Group Ltd,Unknown
SHL,Sonic Healthcare Ltd,Unknown
SKC,Skycity Entertainment Group Ltd,Unknown
SKI,Spark Infrastructure Group,Unknown
SLK,Sealink Travel Group Ltd,Unknown
SNZ,Summerset Group Holdings Ltd,Unknown
SOL,Washington H Soul Pattinson & Company Ltd,Unknown
SPK,Spark New Zealand Ltd,Unknown
STO,Santos Ltd,Unknown
STW,SPDR S&P/ASX 200 Fund,Unknown
SUL,Super Retail Group Ltd,Unknown
SUN,Suncorp Group Ltd,Unknown
SVW,Seven Group Holdings Ltd,Unknown
SYD,Sydney Airport,Unknown
TAH,Tabcorp Holdings Ltd,Unknown
TCL,Transurban Group,Unknown
TLS,Telstra Corporation Ltd,Unknown
TLT,Tilt Renewables Ltd,Unknown
TNE,Technology One Ltd,Unknown
TPG,TPG Telecom Ltd,Unknown
TWE,Treasury Wine Estates Ltd,Unknown
TYR,Tyro Payments Ltd,Unknown
VAF,Vanguard Australian Fixed Interest Index ETF,Unknown
VAP,Vanguard Australian Property Securities INDEX ETF,Unknown
VAS,Vanguard Australian Shares INDEX ETF,Unknown
VCX,Vicinity Centres,Unknown
VDHG,Vanguard Diversified High Growth Index ETF,Unknown
VEA,Viva Energy Group Ltd,Unknown
VEU,Vanguard All-World Ex-US Shares INDEX ETF,Unknown
VGB,Vanguard Australian Government Bond Index ETF,Unknown
VGE,Vanguard FTSE Emerging Markets Shares ETF,Unknown
VGS,Vanguard MSCI INDEX International Shares ETF,Unknown
VHY,Vanguard Australian Shares High Yield ETF,Unknown
VOC,Vocus Group Ltd,Unknown
VTS,Vanguard US Total Market Shares INDEX ETF,Unknown
VUK,Virgin Money Uk Plc,Unknown
WAM,WAM Capital Ltd,Unknown
WBC,Westpac Banking Corporation,Unknown
WEB,Webjet Ltd,Unknown
WES,Wesfarmers Ltd,Unknown
WOR,Worley Ltd,Unknown
WOW,Woolworths Group Ltd,Unknown
WPL,Woodside Petroleum Ltd,Unknown
WPR,Waypoint REIT,Unknown
WTC,Wisetech Global Ltd,Unknown
XRO,Xero Ltd,Unknown
YAL,Yancoal Australia Ltd,Unknown
YMAX,BetaShares S&P 500 Yield Maximiser Fund,Unknown
Z1P,ZIP Co Ltd,Unknown
ZIM,Zimplats Holdings Ltd,Unknown
