Date,Open,High,Low,Close,Volume
2021-07-01 20:00:00-04:00,0.1700000017881393,0.1700000017881393,0.135000005364418,0.135000005364418,530415
2021-07-04 20:00:00-04:00,0.1449999958276748,0.1500000059604644,0.1400000005960464,0.1400000005960464,425120
2021-07-05 20:00:00-04:00,0.1449999958276748,0.1700000017881393,0.1424999982118606,0.1700000017881393,413972
2021-07-06 20:00:00-04:00,0.1700000017881393,0.1800000071525573,0.1650000065565109,0.1650000065565109,153820
2021-07-07 20:00:00-04:00,0.1650000065565109,0.1650000065565109,0.1599999964237213,0.1599999964237213,265142
2021-07-08 20:00:00-04:00,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0
2021-07-11 20:00:00-04:00,0.1550000011920929,0.1550000011920929,0.1500000059604644,0.1500000059604644,105790
2021-07-12 20:00:00-04:00,0.1550000011920929,0.1599999964237213,0.1500000059604644,0.1599999964237213,155149
2021-07-13 20:00:00-04:00,0.1650000065565109,0.1800000071525573,0.1650000065565109,0.1800000071525573,119010
2021-07-14 20:00:00-04:00,0.1800000071525573,0.1800000071525573,0.1599999964237213,0.1749999970197677,192636
2021-07-15 20:00:00-04:00,0.1800000071525573,0.1800000071525573,0.1700000017881393,0.1700000017881393,24000
2021-07-18 20:00:00-04:00,0.1700000017881393,0.1700000017881393,0.1700000017881393,0.1700000017881393,57205
2021-07-19 20:00:00-04:00,0.1749999970197677,0.1749999970197677,0.1624999940395355,0.1624999940395355,89796
2021-07-20 20:00:00-04:00,0.1624999940395355,0.1624999940395355,0.1624999940395355,0.1624999940395355,0
2021-07-21 20:00:00-04:00,0.1650000065565109,0.1700000017881393,0.1650000065565109,0.1700000017881393,22909
2021-07-22 20:00:00-04:00,0.1700000017881393,0.1700000017881393,0.1700000017881393,0.1700000017881393,0
2021-07-25 20:00:00-04:00,0.1700000017881393,0.1700000017881393,0.1700000017881393,0.1700000017881393,2091
2021-07-26 20:00:00-04:00,0.1700000017881393,0.1700000017881393,0.1650000065565109,0.1650000065565109,4000
2021-07-27 20:00:00-04:00,0.1650000065565109,0.1650000065565109,0.1500000059604644,0.1599999964237213,101025
2021-07-28 20:00:00-04:00,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,33975
2021-07-29 20:00:00-04:00,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0
2021-08-01 20:00:00-04:00,0.1500000059604644,0.1500000059604644,0.1500000059604644,0.1500000059604644,16900
2021-08-02 20:00:00-04:00,0.1400000005960464,0.1400000005960464,0.1400000005960464,0.1400000005960464,57100
2021-08-03 20:00:00-04:00,0.1400000005960464,0.1400000005960464,0.1400000005960464,0.1400000005960464,0
2021-08-04 20:00:00-04:00,0.1400000005960464,0.1400000005960464,0.1400000005960464,0.1400000005960464,0
2021-08-05 20:00:00-04:00,0.1400000005960464,0.1400000005960464,0.1400000005960464,0.1400000005960464,0
2021-08-08 20:00:00-04:00,0.1400000005960464,0.1400000005960464,0.1400000005960464,0.1400000005960464,5000
2021-08-09 20:00:00-04:00,0.1400000005960464,0.1400000005960464,0.1400000005960464,0.1400000005960464,8000
2021-08-10 20:00:00-04:00,0.1400000005960464,0.1400000005960464,0.1299999952316284,0.1299999952316284,25000
2021-08-11 20:00:00-04:00,0.1299999952316284,0.1299999952316284,0.1299999952316284,0.1299999952316284,50000
2021-08-12 20:00:00-04:00,0.1299999952316284,0.1299999952316284,0.1099999994039535,0.1099999994039535,171250
2021-08-15 20:00:00-04:00,0.1150000020861625,0.125,0.1150000020861625,0.125,84090
2021-08-16 20:00:00-04:00,0.1299999952316284,0.1299999952316284,0.1150000020861625,0.1299999952316284,29691
2021-08-17 20:00:00-04:00,0.1299999952316284,0.1299999952316284,0.1299999952316284,0.1299999952316284,0
2021-08-18 20:00:00-04:00,0.1299999952316284,0.1299999952316284,0.1299999952316284,0.1299999952316284,0
2021-08-19 20:00:00-04:00,0.125,0.125,0.125,0.125,1961
2021-08-22 20:00:00-04:00,0.125,0.125,0.125,0.125,0
2021-08-23 20:00:00-04:00,0.125,0.1299999952316284,0.125,0.1299999952316284,14000
2021-08-24 20:00:00-04:00,0.1299999952316284,0.1299999952316284,0.1299999952316284,0.1299999952316284,0
2021-08-25 20:00:00-04:00,0.1299999952316284,0.1299999952316284,0.1299999952316284,0.1299999952316284,0
2021-08-26 20:00:00-04:00,0.1299999952316284,0.1299999952316284,0.1299999952316284,0.1299999952316284,0
2021-08-29 20:00:00-04:00,0.1199999973177909,0.1199999973177909,0.1099999994039535,0.1150000020861625,206025
2021-08-30 20:00:00-04:00,0.1199999973177909,0.1299999952316284,0.1199999973177909,0.1299999952316284,35367
2021-08-31 20:00:00-04:00,0.1299999952316284,0.1299999952316284,0.1299999952316284,0.1299999952316284,14453
2021-09-01 20:00:00-04:00,0.1299999952316284,0.1299999952316284,0.1299999952316284,0.1299999952316284,106973
2021-09-02 20:00:00-04:00,0.135000005364418,0.135000005364418,0.1150000020861625,0.1150000020861625,125000
2021-09-05 20:00:00-04:00,0.1150000020861625,0.1150000020861625,0.1150000020861625,0.1150000020861625,14397
2021-09-06 20:00:00-04:00,0.1449999958276748,0.1449999958276748,0.135000005364418,0.135000005364418,66117
2021-09-07 20:00:00-04:00,0.1400000005960464,0.1400000005960464,0.135000005364418,0.1400000005960464,175720
2021-09-08 20:00:00-04:00,0.1400000005960464,0.1500000059604644,0.135000005364418,0.135000005364418,117601
2021-09-09 20:00:00-04:00,0.135000005364418,0.135000005364418,0.135000005364418,0.135000005364418,0
2021-09-12 20:00:00-04:00,0.135000005364418,0.135000005364418,0.135000005364418,0.135000005364418,0
2021-09-13 20:00:00-04:00,0.135000005364418,0.135000005364418,0.135000005364418,0.135000005364418,0
2021-09-14 20:00:00-04:00,0.1299999952316284,0.1500000059604644,0.1274999976158142,0.1500000059604644,122480
2021-09-15 20:00:00-04:00,0.1500000059604644,0.1700000017881393,0.1449999958276748,0.1700000017881393,103177
2021-09-16 20:00:00-04:00,0.1599999964237213,0.1599999964237213,0.1449999958276748,0.1550000011920929,26536
2021-09-19 20:00:00-04:00,0.1550000011920929,0.1550000011920929,0.1550000011920929,0.1550000011920929,0
2021-09-20 20:00:00-04:00,0.1299999952316284,0.1299999952316284,0.1299999952316284,0.1299999952316284,13690
2021-09-21 20:00:00-04:00,0.1299999952316284,0.1299999952316284,0.1299999952316284,0.1299999952316284,37488
2021-09-22 20:00:00-04:00,0.1299999952316284,0.1299999952316284,0.1274999976158142,0.1299999952316284,183443
2021-09-23 20:00:00-04:00,0.1449999958276748,0.1449999958276748,0.1449999958276748,0.1449999958276748,40069
2021-09-26 20:00:00-04:00,0.1449999958276748,0.1449999958276748,0.1449999958276748,0.1449999958276748,8400
2021-09-27 20:00:00-04:00,0.1449999958276748,0.1449999958276748,0.135000005364418,0.135000005364418,20631
2021-09-28 20:00:00-04:00,0.1299999952316284,0.1299999952316284,0.1299999952316284,0.1299999952316284,35000
2021-09-29 20:00:00-04:00,0.1299999952316284,0.1299999952316284,0.1299999952316284,0.1299999952316284,27500
2021-09-30 20:00:00-04:00,0.135000005364418,0.135000005364418,0.135000005364418,0.135000005364418,20000
2021-10-03 20:00:00-04:00,0.135000005364418,0.135000005364418,0.135000005364418,0.135000005364418,0
2021-10-04 20:00:00-04:00,0.1400000005960464,0.1400000005960464,0.1299999952316284,0.1299999952316284,44285
2021-10-05 20:00:00-04:00,0.135000005364418,0.135000005364418,0.135000005364418,0.135000005364418,20726
2021-10-06 20:00:00-04:00,0.135000005364418,0.135000005364418,0.125,0.1299999952316284,200000
2021-10-07 20:00:00-04:00,0.125,0.1449999958276748,0.125,0.1449999958276748,70000
2021-10-10 20:00:00-04:00,0.1400000005960464,0.1400000005960464,0.1400000005960464,0.1400000005960464,5000
2021-10-11 20:00:00-04:00,0.1400000005960464,0.1400000005960464,0.1400000005960464,0.1400000005960464,25000
2021-10-12 20:00:00-04:00,0.1400000005960464,0.1400000005960464,0.1400000005960464,0.1400000005960464,0
2021-10-13 20:00:00-04:00,0.1400000005960464,0.1400000005960464,0.1400000005960464,0.1400000005960464,33259
2021-10-14 20:00:00-04:00,0.1424999982118606,0.1449999958276748,0.1424999982118606,0.1449999958276748,116413
2021-10-17 20:00:00-04:00,0.1500000059604644,0.1500000059604644,0.1500000059604644,0.1500000059604644,34799
2021-10-18 20:00:00-04:00,0.209999993443489,0.3650000095367431,0.2000000029802322,0.3149999976158142,40847776
2021-10-19 20:00:00-04:00,0.3100000023841858,0.4350000023841858,0.2800000011920929,0.3849999904632568,22454694
2021-10-20 20:00:00-04:00,0.3700000047683716,0.4149999916553497,0.3199999928474426,0.3400000035762787,9197123
2021-10-21 20:00:00-04:00,0.3300000131130218,0.3700000047683716,0.324999988079071,0.3400000035762787,2986018
2021-10-24 20:00:00-04:00,0.3400000035762787,0.3499999940395355,0.2899999916553497,0.3100000023841858,2247882
2021-10-25 20:00:00-04:00,0.3100000023841858,0.3350000083446502,0.3100000023841858,0.3199999928474426,1957190
2021-10-26 20:00:00-04:00,0.3199999928474426,0.3449999988079071,0.3050000071525574,0.3400000035762787,1830966
2021-10-27 20:00:00-04:00,0.3350000083446502,0.3400000035762787,0.2899999916553497,0.3000000119209289,819180
2021-10-28 20:00:00-04:00,0.3000000119209289,0.3100000023841858,0.270000010728836,0.2899999916553497,1137686
2021-10-31 20:00:00-04:00,0.2849999964237213,0.2899999916553497,0.2750000059604645,0.2800000011920929,342472
2021-11-01 20:00:00-04:00,0.2800000011920929,0.3000000119209289,0.2750000059604645,0.3000000119209289,354675
2021-11-02 20:00:00-04:00,0.2899999916553497,0.3149999976158142,0.2800000011920929,0.3050000071525574,666184
2021-11-03 20:00:00-04:00,0.3100000023841858,0.324999988079071,0.2949999868869781,0.3050000071525574,959058
2021-11-04 20:00:00-04:00,0.3100000023841858,0.3100000023841858,0.3000000119209289,0.3100000023841858,106081
2021-11-07 19:00:00-05:00,0.3050000071525574,0.3149999976158142,0.2899999916553497,0.3000000119209289,755320
2021-11-08 19:00:00-05:00,0.3000000119209289,0.3350000083446502,0.3000000119209289,0.3350000083446502,1430157
2021-11-09 19:00:00-05:00,0.3300000131130218,0.3350000083446502,0.3000000119209289,0.3050000071525574,916543
2021-11-10 19:00:00-05:00,0.3050000071525574,0.3100000023841858,0.3000000119209289,0.3000000119209289,246013
2021-11-11 19:00:00-05:00,0.3100000023841858,0.324999988079071,0.3000000119209289,0.3199999928474426,944339
2021-11-14 19:00:00-05:00,0.3199999928474426,0.324999988079071,0.3100000023841858,0.3199999928474426,414042
2021-11-15 19:00:00-05:00,0.3400000035762787,0.3474999964237213,0.3149999976158142,0.3199999928474426,881961
2021-11-16 19:00:00-05:00,0.3100000023841858,0.3100000023841858,0.2199999988079071,0.2450000047683715,2967415
2021-11-17 19:00:00-05:00,0.2450000047683715,0.2450000047683715,0.2000000029802322,0.2150000035762787,1240992
2021-11-18 19:00:00-05:00,0.2249999940395355,0.2300000041723251,0.2049999982118606,0.2049999982118606,496520
2021-11-21 19:00:00-05:00,0.209999993443489,0.209999993443489,0.1899999976158142,0.2049999982118606,672759
2021-11-22 19:00:00-05:00,0.2049999982118606,0.2049999982118606,0.1949999928474426,0.1949999928474426,362920
