Date,Open,High,Low,Close,Volume,"('Adj Close', 'BCRX')","('Close', 'BCRX')","('High', 'BCRX')","('Low', 'BCRX')","('Open', 'BCRX')","('Volume', 'BCRX')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,5.949999809265137,6.28000020980835,5.809999942779541,6.070000171661377,2879200.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,6.0,6.050000190734863,5.849999904632568,6.0,3700000.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,6.050000190734863,6.539999961853027,6.050000190734863,6.460000038146973,4016700.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,6.360000133514404,6.369999885559082,6.090000152587891,6.090000152587891,2648600.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,6.300000190734863,7.650000095367432,6.119999885559082,7.650000095367432,12028300.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,7.559999942779541,7.690000057220459,7.389999866485596,7.440000057220459,5298200.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,7.539999961853027,7.75,6.75,6.880000114440918,5384200.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,6.760000228881836,6.840000152587891,6.429999828338623,6.46999979019165,4582100.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,6.510000228881836,6.659999847412109,6.230000019073486,6.349999904632568,3061000.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,6.21999979019165,6.25,5.929999828338623,6.090000152587891,2915300.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,5.96999979019165,6.039999961853027,5.880000114440918,5.960000038146973,2751800.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,5.949999809265137,5.96999979019165,5.679999828338623,5.760000228881836,2243900.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,5.75,5.75,5.599999904632568,5.670000076293945,2784300.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,5.710000038146973,5.849999904632568,5.389999866485596,5.619999885559082,4066300.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,5.739999771118164,5.760000228881836,5.360000133514404,5.5,2587800.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,5.570000171661377,5.590000152587891,5.400000095367432,5.400000095367432,2160400.0,,,,,,,,,,
