Date,Open,High,Low,Close,Volume,"('Adj Close', 'RNR')","('Close', 'RNR')","('High', 'RNR')","('Low', 'RNR')","('Open', 'RNR')","('Volume', 'RNR')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,196.9499969482422,200.30999755859372,196.9499969482422,200.13999938964844,433600.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,200.7100067138672,202.6000061035156,197.9900054931641,202.44000244140625,374300.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,203.63999938964844,206.1000061035156,202.08999633789065,202.08999633789065,283600.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,203.82000732421875,205.0800018310547,200.6199951171875,201.27999877929688,333900.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,202.3600006103516,203.0399932861328,199.9199981689453,202.72999572753903,261000.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,202.6100006103516,202.6100006103516,197.4900054931641,201.1699981689453,271600.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,200.1699981689453,201.4900054931641,198.22999572753903,200.6499938964844,229900.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,201.30999755859372,204.44000244140625,199.72999572753903,204.16000366210935,221200.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,204.67999267578125,207.07000732421875,204.6499938964844,204.97999572753903,303000.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,205.0800018310547,210.1499938964844,204.6999969482422,209.1999969482422,474600.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,209.0500030517578,212.22000122070312,204.6300048828125,205.6100006103516,384400.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,204.6000061035156,209.9199981689453,203.3500061035156,209.7400054931641,361700.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,210.8699951171875,214.0399932861328,208.22000122070312,209.91000366210935,293600.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,209.50999450683597,210.94000244140625,208.91000366210935,209.0800018310547,327400.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,208.7700042724609,210.3300018310547,207.19000244140625,208.08999633789065,362100.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,209.7400054931641,210.82000732421875,208.52999877929688,209.32000732421875,303400.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,209.6699981689453,210.25,205.6199951171875,209.57000732421875,391400.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,209.72999572753903,213.3600006103516,209.0200042724609,213.30999755859372,404200.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,212.5500030517578,215.0500030517578,211.6699981689453,214.5399932861328,538000.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,214.75999450683597,216.72999572753903,214.22999572753903,215.05999755859372,627500.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,226.00999450683597,233.8500061035156,220.5,228.8300018310547,1486700.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,228.2400054931641,228.2400054931641,221.5200042724609,223.17999267578125,805400.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,225.0,226.5800018310547,222.30999755859372,226.25,464100.0,,,,,,,,,,
2024-02-04 19:00:00-05:00,227.3699951171875,229.7700042724609,226.2100067138672,227.58999633789065,477000.0,,,,,,,,,,
