Date,Open,High,Low,Close,Volume,"('Adj Close', 'TFFP')","('Close', 'TFFP')","('High', 'TFFP')","('Low', 'TFFP')","('Open', 'TFFP')","('Volume', 'TFFP')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,7.019999980926514,7.244999885559082,6.889999866485596,6.909999847412109,12000.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,6.900000095367432,6.900000095367432,6.409999847412109,6.670000076293945,32000.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,6.670000076293945,6.670000076293945,5.900000095367432,6.019999980926514,27500.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,6.010000228881836,6.151000022888184,5.920000076293945,5.980000019073486,9900.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,5.900000095367432,6.070000171661377,5.684000015258789,5.940000057220459,21800.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,6.059999942779541,6.364999771118164,5.880000114440918,6.230000019073486,19300.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,6.159999847412109,6.579999923706055,6.0,6.050000190734863,31600.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,6.099999904632568,6.105000019073486,5.679999828338623,5.75,11100.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,5.800000190734863,5.849999904632568,5.639999866485596,5.849999904632568,8600.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,5.800000190734863,5.800000190734863,5.25,5.539999961853027,11000.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,5.427999973297119,5.510000228881836,5.25,5.329999923706055,10000.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,5.320000171661377,5.320000171661377,4.710000038146973,4.940000057220459,16900.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,4.940000057220459,5.034999847412109,4.940000057220459,4.989999771118164,4300.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,4.980000019073486,5.0,4.909999847412109,4.980000019073486,2100.0,,,,,,,,,,
