Date,Open,High,Low,Close,Volume,"('Adj Close', 'KRON')","('Close', 'KRON')","('High', 'KRON')","('Low', 'KRON')","('Open', 'KRON')","('Volume', 'KRON')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,1.2100000381469729,1.2799999713897705,1.1799999475479126,1.2000000476837158,92400.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,1.149999976158142,1.2100000381469729,1.1200000047683716,1.1200000047683716,78600.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,1.1200000047683716,1.2200000286102295,1.1200000047683716,1.2100000381469729,191200.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,1.25,1.25,1.1399999856948853,1.159999966621399,63700.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,1.149999976158142,1.25,1.149999976158142,1.2400000095367432,51700.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,1.2300000190734863,1.2599999904632568,1.2000000476837158,1.2200000286102295,17700.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,1.2200000286102295,1.25,1.2000000476837158,1.2100000381469729,25900.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,1.2100000381469729,1.2100000381469729,1.1699999570846558,1.1799999475479126,48600.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,1.190000057220459,1.2000000476837158,1.159999966621399,1.1799999475479126,53500.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,1.1799999475479126,1.180999994277954,1.1200000047683716,1.1200000047683716,85600.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,1.1100000143051147,1.1100000143051147,1.0700000524520874,1.0700000524520874,51100.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,1.1799999475479126,1.1799999475479126,1.0499999523162842,1.0499999523162842,84100.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,1.059999942779541,1.059999942779541,1.0199999809265137,1.0199999809265137,52500.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,1.0399999618530271,1.1390000581741333,1.0199999809265137,1.0700000524520874,294700.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,1.090000033378601,1.2400000095367432,1.0700000524520874,1.2100000381469729,74100.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,1.2400000095367432,1.2400000095367432,1.159999966621399,1.1799999475479126,44000.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,1.2100000381469729,1.25,1.149999976158142,1.159999966621399,84300.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,1.190000057220459,1.190000057220459,1.1039999723434448,1.1100000143051147,56800.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,1.1100000143051147,1.312999963760376,1.1100000143051147,1.1799999475479126,524400.0,,,,,,,,,,
