Date,Open,High,Low,Close,Volume,"('Adj Close', 'TOVX')","('Close', 'TOVX')","('High', 'TOVX')","('Low', 'TOVX')","('Open', 'TOVX')","('Volume', 'TOVX')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,10.75,11.75,10.75,11.0,2028.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,11.0,11.75,10.75,11.5,2728.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,11.25,11.25,10.25,11.25,4184.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,11.0,11.25,11.0,11.25,1248.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,11.25,12.0,11.0,11.5,3916.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,11.25,12.0,11.25,11.25,528.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,11.25,12.25,11.25,11.25,928.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,11.0,12.0,10.5,10.5,4864.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,10.75,11.5,10.5,10.5,920.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,10.5,11.25,10.25,10.5,2288.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,10.5,11.25,10.25,10.75,768.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,10.5,11.5,10.5,10.5,936.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,11.0,11.0,10.25,10.25,812.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,10.25,10.75,10.0,10.5,532.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,10.5,10.75,10.25,10.25,744.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,10.25,12.75,10.25,11.0,4792.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,11.25,12.0,10.5,10.5,1216.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,10.5,11.25,10.5,10.75,776.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,10.75,11.5,10.5,11.0,964.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,11.25,12.25,11.25,11.25,10804.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,11.75,13.0,11.75,12.5,7276.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,13.0,13.0,12.5,13.0,2228.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,13.25,13.25,12.25,12.75,788.0,,,,,,,,,,
2024-02-04 19:00:00-05:00,13.25,13.25,11.5,12.0,900.0,,,,,,,,,,
2024-02-05 19:00:00-05:00,12.5,12.5,11.75,12.0,1252.0,,,,,,,,,,
2024-02-06 19:00:00-05:00,12.0,13.75,11.75,13.75,14460.0,,,,,,,,,,
2024-02-07 19:00:00-05:00,13.75,13.75,12.0,13.5,2564.0,,,,,,,,,,
2024-02-08 19:00:00-05:00,13.0,13.75,12.75,13.25,976.0,,,,,,,,,,
2024-02-11 19:00:00-05:00,13.0,13.5,12.75,13.0,972.0,,,,,,,,,,
2024-02-12 19:00:00-05:00,12.75,13.25,12.0,12.25,2088.0,,,,,,,,,,
2024-02-13 19:00:00-05:00,12.25,12.75,12.25,12.25,864.0,,,,,,,,,,
2024-02-14 19:00:00-05:00,12.25,13.75,11.5,11.75,3284.0,,,,,,,,,,
2024-02-15 19:00:00-05:00,11.75,12.5,11.5,11.75,2180.0,,,,,,,,,,
2024-02-19 19:00:00-05:00,11.75,12.25,11.5,11.75,1652.0,,,,,,,,,,
2024-02-20 19:00:00-05:00,12.25,12.25,11.75,12.25,1952.0,,,,,,,,,,
2024-02-21 19:00:00-05:00,12.25,12.25,12.0,12.25,1380.0,,,,,,,,,,
2024-02-22 19:00:00-05:00,12.25,12.25,11.75,11.75,1372.0,,,,,,,,,,
2024-02-25 19:00:00-05:00,12.25,12.25,11.25,12.0,1568.0,,,,,,,,,,
2024-02-26 19:00:00-05:00,12.0,12.0,11.5,11.5,1172.0,,,,,,,,,,
2024-02-27 19:00:00-05:00,11.5,11.75,11.25,11.25,788.0,,,,,,,,,,
2024-02-28 19:00:00-05:00,11.25,12.0,11.25,11.75,1756.0,,,,,,,,,,
2024-02-29 19:00:00-05:00,11.5,12.25,11.5,12.25,1448.0,,,,,,,,,,
2024-03-03 19:00:00-05:00,11.75,12.5,11.75,12.25,1000.0,,,,,,,,,,
2024-03-04 19:00:00-05:00,12.25,12.5,12.0,12.25,1320.0,,,,,,,,,,
2024-03-05 19:00:00-05:00,12.25,12.5,12.0,12.0,1360.0,,,,,,,,,,
2024-03-06 19:00:00-05:00,12.0,12.5,11.5,11.5,2312.0,,,,,,,,,,
2024-03-07 19:00:00-05:00,11.5,12.5,11.5,11.75,1904.0,,,,,,,,,,
2024-03-10 20:00:00-04:00,12.25,12.5,12.0,12.0,1836.0,,,,,,,,,,
2024-03-11 20:00:00-04:00,12.25,12.5,11.5,11.5,2364.0,,,,,,,,,,
2024-03-12 20:00:00-04:00,11.5,11.75,11.25,11.25,3464.0,,,,,,,,,,
2024-03-13 20:00:00-04:00,11.75,11.75,10.25,10.25,3180.0,,,,,,,,,,
2024-03-14 20:00:00-04:00,10.5,11.25,10.5,10.5,632.0,,,,,,,,,,
2024-03-17 20:00:00-04:00,10.5,11.75,10.5,11.25,2240.0,,,,,,,,,,
2024-03-18 20:00:00-04:00,11.0,12.0,11.0,11.0,1584.0,,,,,,,,,,
2024-03-19 20:00:00-04:00,11.25,17.0,11.0,15.5,94160.0,,,,,,,,,,
2024-03-20 20:00:00-04:00,13.0,13.0,12.0,12.5,13016.0,,,,,,,,,,
2024-03-21 20:00:00-04:00,12.0,13.25,12.0,13.0,6220.0,,,,,,,,,,
2024-03-24 20:00:00-04:00,13.5,13.5,12.0,12.25,4756.0,,,,,,,,,,
2024-03-25 20:00:00-04:00,12.75,12.75,11.25,11.5,5836.0,,,,,,,,,,
2024-03-26 20:00:00-04:00,11.5,12.5,11.5,12.0,3396.0,,,,,,,,,,
2024-03-27 20:00:00-04:00,12.0,12.25,11.0,11.75,1964.0,,,,,,,,,,
2024-03-31 20:00:00-04:00,11.75,11.75,10.75,11.0,4272.0,,,,,,,,,,
2024-04-01 20:00:00-04:00,10.75,11.25,10.75,11.0,3724.0,,,,,,,,,,
2024-04-02 20:00:00-04:00,10.75,11.25,10.75,11.25,1108.0,,,,,,,,,,
