Date,Open,High,Low,Close,Volume,"('Adj Close', 'MSI')","('Close', 'MSI')","('High', 'MSI')","('Low', 'MSI')","('Open', 'MSI')","('Volume', 'MSI')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,312.3599853515625,314.4800109863281,310.5400085449219,311.6400146484375,800200.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,312.9599914550781,314.239990234375,310.5299987792969,312.0,720200.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,313.0899963378906,314.2900085449219,311.7099914550781,311.75,739200.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,311.7099914550781,312.19000244140625,307.3099975585937,309.1600036621094,492800.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,310.3599853515625,313.0199890136719,308.6099853515625,312.8599853515625,525400.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,311.70001220703125,312.8500061035156,309.44000244140625,312.010009765625,629600.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,312.4599914550781,315.1199951171875,312.0199890136719,315.0400085449219,418700.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,315.4700012207031,316.0299987792969,312.7300109863281,314.2799987792969,624900.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,315.2900085449219,316.3399963378906,313.6700134277344,316.3099975585937,692300.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,315.6400146484375,317.1499938964844,314.0799865722656,315.6499938964844,499900.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,315.7200012207031,317.8699951171875,315.7200012207031,317.0299987792969,446100.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,317.1700134277344,321.0400085449219,316.79998779296875,320.9700012207031,724500.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,323.0199890136719,328.0599975585937,322.0799865722656,326.2799987792969,736400.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,327.44000244140625,328.1499938964844,324.7799987792969,324.989990234375,797300.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,325.8399963378906,329.5400085449219,325.239990234375,329.4700012207031,596000.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,329.8299865722656,330.92999267578125,328.1700134277344,328.3500061035156,559700.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,329.5400085449219,330.8399963378906,326.8299865722656,328.5899963378906,392600.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,328.0,329.2699890136719,326.0799865722656,326.1000061035156,487000.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,325.1000061035156,328.2300109863281,325.07000732421875,326.75,622800.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,325.8599853515625,328.0799865722656,325.6499938964844,327.5199890136719,791900.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,326.5799865722656,326.5899963378906,319.489990234375,319.5,832400.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,319.5,325.2099914550781,318.79998779296875,325.1499938964844,533100.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,324.7200012207031,329.989990234375,324.7200012207031,327.6199951171875,568900.0,,,,,,,,,,
2024-02-04 19:00:00-05:00,326.6000061035156,326.6099853515625,323.6300048828125,325.29998779296875,670400.0,,,,,,,,,,
2024-02-05 19:00:00-05:00,324.9100036621094,326.9599914550781,321.4599914550781,325.3800048828125,706500.0,,,,,,,,,,
2024-02-06 19:00:00-05:00,328.5,328.9200134277344,326.3399963378906,327.92999267578125,543400.0,,,,,,,,,,
