Date,Open,High,Low,Close,Volume,"('Adj Close', 'TCON')","('Close', 'TCON')","('High', 'TCON')","('Low', 'TCON')","('Open', 'TCON')","('Volume', 'TCON')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,3.621999979019165,3.6659998893737793,3.470000028610229,3.539999961853028,39811.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,3.490000009536743,3.539999961853028,3.25,3.380000114440918,63038.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,3.309999942779541,3.5,3.252000093460083,3.4800000190734863,49007.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,3.5,3.5199999809265137,3.3359999656677246,3.4800000190734863,16185.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,3.46399998664856,3.559999942779541,3.3359999656677246,3.532000064849853,24854.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,3.5380001068115234,3.559999942779541,3.380000114440918,3.5179998874664307,22644.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,3.539999961853028,3.539999961853028,3.390000104904175,3.497999906539917,23393.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,3.539999961853028,3.539999961853028,3.380000114440918,3.4779999256134038,17951.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,3.4800000190734863,3.595999956130981,3.3399999141693115,3.384000062942505,73114.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,3.380000114440918,3.588000059127808,3.361999988555908,3.380000114440918,34750.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,3.4800000190734863,3.4800000190734863,3.009999990463257,3.140000104904175,68067.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,3.009999990463257,3.196000099182129,3.0,3.053999900817871,25094.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,3.0380001068115234,3.134000062942505,2.900000095367432,3.055999994277954,44246.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,2.819999933242798,3.240000009536743,2.819999933242798,3.119999885559082,34055.0,,,,,,,,,,
