Date,Open,High,Low,Close,Volume,"('Adj Close', 'FISV')","('Close', 'FISV')","('High', 'FISV')","('Low', 'FISV')","('Open', 'FISV')","('Volume', 'FISV')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,132.3300018310547,133.6699981689453,131.94000244140625,133.0800018310547,3227824.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,133.00999450683594,133.00999450683594,131.41000366210938,131.75,3710743.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,132.16000366210938,133.27999877929688,131.9499969482422,133.0,2839159.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,133.2100067138672,133.6999969482422,132.15020751953125,132.57000732421875,2564880.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,134.3000030517578,135.27000427246094,133.6649932861328,135.22999572753906,2453496.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,134.33999633789062,135.27999877929688,134.33999633789062,135.10000610351562,2322699.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,136.0,136.47999572753906,134.94000244140625,135.39999389648438,2008954.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,136.5,136.5,135.1300048828125,136.38999938964844,2105152.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,136.99000549316406,137.14999389648438,136.25,136.9199981689453,1963174.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,136.3000030517578,137.25,135.97000122070312,137.0,2702907.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,137.0,137.99000549316406,136.47999572753906,137.44000244140625,3139533.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,138.0,138.7100067138672,136.92999267578125,137.80999755859375,2882857.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,138.2100067138672,139.35000610351562,137.64999389648438,139.02000427246094,3053996.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,139.52499389648438,140.63999938964844,139.52499389648438,140.52000427246094,2082085.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,140.77999877929688,141.00999450683594,140.2100067138672,140.60000610351562,2242499.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,141.05999755859375,141.68499755859375,139.74000549316406,140.0,2455250.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,140.88999938964844,141.0850067138672,139.7899932861328,140.66000366210938,2130788.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,140.55999755859375,141.75,140.1699981689453,141.33999633789062,1972696.0,,,,,,,,,,
