Date,Open,High,Low,Close,Volume,"('Adj Close', 'R')","('Close', 'R')","('High', 'R')","('Low', 'R')","('Open', 'R')","('Volume', 'R')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,114.45999908447266,115.16000366210938,112.26000213623048,112.76000213623048,227800.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,111.9800033569336,113.37999725341795,110.62000274658205,111.77999877929688,240400.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,111.8499984741211,112.62000274658205,111.5199966430664,111.87999725341795,296900.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,111.7699966430664,112.94000244140624,110.7699966430664,112.52999877929688,220100.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,112.61000061035156,113.02999877929688,112.16999816894533,113.0,116900.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,112.06999969482422,112.88999938964844,111.47000122070312,112.52999877929688,132400.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,111.54000091552734,111.9499969482422,110.48999786376952,111.9000015258789,211700.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,111.37000274658205,111.37000274658205,109.44000244140624,110.48999786376952,143500.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,110.95999908447266,111.23999786376952,109.80999755859376,110.63999938964844,120000.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,110.31999969482422,110.37999725341795,109.18000030517578,110.06999969482422,176700.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,108.69000244140624,110.38999938964844,108.19000244140624,109.6999969482422,145100.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,110.37999725341795,111.66000366210938,110.01000213623048,111.62000274658205,151600.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,111.91999816894533,112.97000122070312,110.1500015258789,112.97000122070312,159000.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,113.5,115.31999969482422,113.5,114.9800033569336,171500.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,115.45999908447266,115.79000091552734,114.13999938964844,114.6500015258789,149100.0,,,,,,,,,,
