Date,Open,High,Low,Close,Volume,"('Adj Close', 'AIZ')","('Close', 'AIZ')","('High', 'AIZ')","('Low', 'AIZ')","('Open', 'AIZ')","('Volume', 'AIZ')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,168.49000549316406,170.2899932861328,168.16000366210938,169.86000061035156,262400.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,170.2899932861328,173.61000061035156,169.72999572753906,169.99000549316406,386200.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,170.66000366210938,172.16000366210938,168.7899932861328,169.0800018310547,246500.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,169.1699981689453,170.52999877929688,167.9199981689453,168.0800018310547,541200.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,168.60000610351562,169.0500030517578,165.2100067138672,166.0,452500.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,165.0500030517578,165.7899932861328,162.92999267578125,164.13999938964844,286800.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,163.33999633789062,164.16000366210938,162.77999877929688,163.3000030517578,314100.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,162.66000366210938,166.72999572753906,162.57000732421875,166.60000610351562,462800.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,166.07000732421875,167.1999969482422,163.80999755859375,164.63999938964844,289800.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,164.6300048828125,165.6300048828125,163.39999389648438,164.49000549316406,353900.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,164.9499969482422,168.0500030517578,164.92999267578125,166.1300048828125,278000.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,165.4199981689453,167.00999450683594,164.27999877929688,166.5800018310547,248400.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,167.99000549316406,167.99000549316406,166.35000610351562,167.82000732421875,246000.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,167.88999938964844,168.97000122070312,166.8000030517578,168.8000030517578,456700.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,168.60000610351562,170.02000427246094,168.60000610351562,169.14999389648438,264300.0,,,,,,,,,,
