Date,Open,High,Low,Close,Volume,"('Adj Close', 'DJCO')","('Close', 'DJCO')","('High', 'DJCO')","('Low', 'DJCO')","('Open', 'DJCO')","('Volume', 'DJCO')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,330.17999267578125,346.5,330.17999267578125,346.5,1800.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,334.6499938964844,334.6499938964844,334.0,334.0,2500.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,324.6700134277344,324.6700134277344,322.4800109863281,323.0,2700.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,313.3500061035156,315.75,313.3500061035156,315.75,4100.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,321.7900085449219,332.9700012207031,318.3800048828125,328.0,6800.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,321.8800048828125,322.20001220703125,321.8800048828125,322.20001220703125,1200.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,324.8500061035156,324.8500061035156,324.8500061035156,324.8500061035156,1600.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,318.0,320.1499938964844,318.0,320.1499938964844,2100.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,318.0,318.0,318.0,318.0,900.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,318.9800109863281,323.1700134277344,313.6300048828125,313.6300048828125,3400.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,312.0,315.8999938964844,310.0,315.8999938964844,5000.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,318.4599914550781,321.2799987792969,315.5299987792969,321.2799987792969,4100.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,323.239990234375,337.5400085449219,323.0299987792969,337.5400085449219,5200.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,340.0400085449219,343.0,338.20001220703125,339.29998779296875,5200.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,339.0,341.9700012207031,334.510009765625,336.6000061035156,7400.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,337.010009765625,338.25,326.70001220703125,326.70001220703125,7000.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,329.9800109863281,333.79998779296875,327.239990234375,333.79998779296875,4800.0,,,,,,,,,,
