Date,Open,High,Low,Close,Volume,"('Adj Close', 'HOV')","('Close', 'HOV')","('High', 'HOV')","('Low', 'HOV')","('Open', 'HOV')","('Volume', 'HOV')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,151.42999267578125,153.55999755859375,145.6199951171875,151.83999633789062,74300.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,148.3000030517578,149.22999572753906,145.02999877929688,146.27999877929688,64600.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,146.49000549316406,149.97999572753906,146.49000549316406,147.91000366210938,51400.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,147.63999938964844,154.32000732421875,147.63999938964844,154.32000732421875,74800.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,155.0,161.5,155.0,158.97000122070312,73000.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,157.00999450683594,160.99000549316406,156.0500030517578,157.0800018310547,57400.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,158.27000427246094,167.38999938964844,158.27000427246094,160.39999389648438,112000.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,160.19000244140625,163.7899932861328,156.8000030517578,162.75,78400.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,164.3300018310547,166.0,160.05999755859375,161.0500030517578,78100.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,160.0,160.97999572753906,149.1699981689453,151.25,158400.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,147.8300018310547,151.2899932861328,146.36000061035156,151.1300048828125,56500.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,153.66000366210938,154.99000549316406,146.3800048828125,147.17999267578125,66400.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,148.6999969482422,151.19000244140625,144.0,150.97000122070312,47300.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,153.05999755859375,161.99000549316406,152.22999572753906,161.6199951171875,74300.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,159.0500030517578,160.0500030517578,150.0,151.92999267578125,124400.0,,,,,,,,,,
