Date,Open,High,Low,Close,Volume,"('Adj Close', 'CRM')","('Close', 'CRM')","('High', 'CRM')","('Low', 'CRM')","('Open', 'CRM')","('Volume', 'CRM')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,260.5400085449219,260.5599975585937,253.7700042724609,256.1300048828125,4741400.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,253.5,254.16000366210935,251.7700042724609,251.83999633789065,5097100.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,251.8300018310547,252.63999938964844,249.83999633789065,251.2400054931641,4489800.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,251.2100067138672,253.91000366210935,250.1699981689453,251.1199951171875,3675600.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,252.2100067138672,261.5599975585937,251.38999938964844,260.8699951171875,6626000.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,259.5,263.92999267578125,258.7799987792969,261.3399963378906,4571800.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,263.2699890136719,266.4599914550781,262.75,264.1300048828125,5128300.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,268.0,272.9599914550781,265.1000061035156,271.3800048828125,9012600.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,271.2300109863281,275.239990234375,271.0599975585937,271.92999267578125,4847000.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,269.70001220703125,271.57000732421875,267.7200012207031,269.19000244140625,5858700.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,268.2900085449219,271.8999938964844,264.1300048828125,271.44000244140625,4706500.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,273.0,275.69000244140625,272.1400146484375,274.4599914550781,4752400.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,276.510009765625,282.0,275.5299987792969,280.8800048828125,7394000.0,,,,,,,,,,
