Date,Open,High,Low,Close,Volume,"('Adj Close', 'MKSI')","('Close', 'MKSI')","('High', 'MKSI')","('Low', 'MKSI')","('Open', 'MKSI')","('Volume', 'MKSI')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,100.9000015258789,101.9000015258789,98.68000030517578,99.8000030517578,908400.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,97.41000366210938,99.36000061035156,96.87999725341795,97.79000091552734,855600.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,95.9499969482422,98.30999755859376,95.70999908447266,97.3499984741211,677800.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,97.06999969482422,98.62000274658205,96.63999938964844,97.95999908447266,746800.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,98.41000366210938,102.18000030517578,97.91999816894533,101.68000030517578,683000.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,99.97000122070312,103.37999725341795,99.97000122070312,103.16000366210938,701300.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,104.1999969482422,104.36000061035156,102.26000213623048,103.72000122070312,693200.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,103.22000122070312,104.8000030517578,101.23999786376952,103.70999908447266,830800.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,103.75,104.19000244140624,100.80999755859376,101.30999755859376,356700.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,101.0,103.22000122070312,99.4800033569336,102.9800033569336,698800.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,100.4800033569336,101.2300033569336,98.81999969482422,101.0999984741211,752600.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,103.58000183105467,105.48999786376952,102.75,104.6999969482422,644600.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,106.02999877929688,108.06999969482422,104.16000366210938,107.69000244140624,669200.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,108.87999725341795,110.94000244140624,108.5,110.52999877929688,477400.0,,,,,,,,,,
