Date,Open,High,Low,Close,Volume,"('Adj Close', 'DY')","('Close', 'DY')","('High', 'DY')","('Low', 'DY')","('Open', 'DY')","('Volume', 'DY')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,113.75,115.20999908447266,112.13999938964844,112.48999786376952,185500.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,111.54000091552734,112.58999633789062,109.69000244140624,111.1500015258789,205100.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,111.61000061035156,111.83999633789062,108.55999755859376,109.0999984741211,199400.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,108.13999938964844,110.75,107.52999877929688,109.05999755859376,258700.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,108.47000122070312,112.54000091552734,108.3499984741211,112.37000274658205,288000.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,111.12999725341795,112.56999969482422,109.72000122070312,112.38999938964844,313500.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,112.88999938964844,115.58999633789062,112.81999969482422,115.38999938964844,282800.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,114.7300033569336,115.77999877929688,113.08999633789062,113.80999755859376,293800.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,114.95999908447266,115.63999938964844,111.43000030517578,113.41000366210938,182400.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,112.41000366210938,113.54000091552734,111.1500015258789,113.43000030517578,166100.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,111.52999877929688,113.19000244140624,111.37999725341795,113.06999969482422,148000.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,114.12999725341795,115.3000030517578,111.95999908447266,114.16000366210938,162200.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,114.83999633789062,115.4800033569336,112.54000091552734,113.91000366210938,340600.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,114.66999816894533,116.37999725341795,114.5199966430664,115.31999969482422,237300.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,116.38999938964844,116.94000244140624,109.87000274658205,114.54000091552734,283200.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,115.69000244140624,115.69000244140624,113.08000183105467,113.19000244140624,176600.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,114.58000183105467,115.37999725341795,113.70999908447266,113.83999633789062,176400.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,114.3000030517578,115.86000061035156,113.0,115.18000030517578,152500.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,114.86000061035156,115.45999908447266,114.4800033569336,114.91000366210938,114400.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,114.44000244140624,115.0199966430664,113.37000274658205,114.51000213623048,155200.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,114.98999786376952,114.98999786376952,111.19000244140624,111.6999969482422,212400.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,112.4800033569336,115.01000213623048,112.1500015258789,113.77999877929688,143500.0,,,,,,,,,,
