Date,Open,High,Low,Close,Volume,"('Adj Close', 'INGR')","('Close', 'INGR')","('High', 'INGR')","('Low', 'INGR')","('Open', 'INGR')","('Volume', 'INGR')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,108.05999755859376,109.94000244140624,108.05999755859376,109.69000244140624,285000.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,109.11000061035156,109.26000213623048,107.7300033569336,108.01000213623048,358000.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,108.44000244140624,108.62000274658205,106.79000091552734,106.86000061035156,323200.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,106.44000244140624,107.54000091552734,106.13999938964844,106.45999908447266,464700.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,106.66999816894533,107.16000366210938,106.41000366210938,106.9000015258789,223300.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,106.66999816894533,107.41999816894533,106.02999877929688,107.16000366210938,270400.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,107.5199966430664,108.93000030517578,107.2699966430664,107.58999633789062,383500.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,107.4800033569336,109.29000091552734,107.2699966430664,109.2300033569336,373700.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,110.0,110.38999938964844,109.2300033569336,109.86000061035156,268600.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,109.79000091552734,109.83999633789062,108.87000274658205,109.5199966430664,279500.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,109.1999969482422,110.5500030517578,109.1999969482422,110.0999984741211,286800.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,110.0,110.6999969482422,109.4000015258789,110.08000183105467,274600.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,110.4000015258789,110.4000015258789,108.61000061035156,109.88999938964844,214600.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,109.29000091552734,110.20999908447266,108.75,109.4499969482422,312600.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,109.97000122070312,110.31999969482422,108.95999908447266,109.11000061035156,437900.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,109.04000091552734,109.11000061035156,107.1999969482422,107.31999969482422,476500.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,107.91000366210938,108.43000030517578,107.37000274658205,108.43000030517578,448200.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,108.88999938964844,109.48999786376952,107.8499984741211,109.2699966430664,392200.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,109.69000244140624,109.69000244140624,108.06999969482422,108.18000030517578,368900.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,108.33000183105467,109.43000030517578,108.12000274658205,109.26000213623048,325500.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,109.0500030517578,109.1500015258789,107.4499969482422,107.56999969482422,266000.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,108.5199966430664,111.0999984741211,108.22000122070312,111.08000183105467,481300.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,111.33000183105467,111.79000091552734,110.33999633789062,111.22000122070312,391500.0,,,,,,,,,,
2024-02-04 19:00:00-05:00,110.58000183105467,111.26000213623048,110.02999877929688,110.58999633789062,521400.0,,,,,,,,,,
2024-02-05 19:00:00-05:00,109.29000091552734,112.76000213623048,107.4000015258789,109.70999908447266,1031900.0,,,,,,,,,,
