Date,Open,High,Low,Close,Volume,"('Adj Close', 'GL')","('Close', 'GL')","('High', 'GL')","('Low', 'GL')","('Open', 'GL')","('Volume', 'GL')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,121.97000122070312,122.5,121.58000183105467,122.05999755859376,633500.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,121.98999786376952,122.83000183105467,121.48999786376952,121.68000030517578,772200.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,121.7300033569336,122.76000213623048,121.7300033569336,122.22000122070312,517800.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,122.6500015258789,123.02999877929688,121.75,122.27999877929688,493500.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,122.69000244140624,122.79000091552734,120.0999984741211,121.1999969482422,553200.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,120.83999633789062,120.83999633789062,118.75,119.13999938964844,526800.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,119.11000061035156,120.5500030517578,118.79000091552734,120.5,429300.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,120.01000213623048,120.2300033569336,119.0999984741211,119.88999938964844,725400.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,120.0999984741211,120.5199966430664,119.29000091552734,120.1999969482422,335500.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,119.9000015258789,120.47000122070312,119.43000030517578,120.0,566500.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,119.6500015258789,121.31999969482422,119.58000183105467,119.9800033569336,500800.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,119.63999938964844,120.87000274658205,119.27999877929688,120.7300033569336,344600.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,121.54000091552734,121.93000030517578,120.43000030517578,121.80999755859376,421200.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,122.05999755859376,123.1500015258789,122.05999755859376,122.6999969482422,288400.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,122.68000030517578,123.13999938964844,122.08000183105467,122.29000091552734,371100.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,122.73999786376952,123.0199966430664,121.8499984741211,122.04000091552734,444500.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,122.5,123.5199966430664,122.01000213623048,123.5,413900.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,123.75,124.1999969482422,123.3499984741211,123.76000213623048,609800.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,123.1999969482422,123.43000030517578,122.23999786376952,122.98999786376952,360300.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,123.0199966430664,124.55999755859376,122.76000213623048,124.36000061035156,384000.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,124.83999633789062,125.18000030517578,122.72000122070312,122.81999969482422,548500.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,121.6500015258789,122.2300033569336,118.2699966430664,120.0500030517578,598900.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,120.91999816894533,121.37000274658205,120.02999877929688,120.86000061035156,448200.0,,,,,,,,,,
2024-02-04 19:00:00-05:00,120.2699966430664,120.9499969482422,119.58000183105467,120.2699966430664,549100.0,,,,,,,,,,
2024-02-05 19:00:00-05:00,119.87000274658205,121.4499969482422,119.44000244140624,121.19000244140624,394000.0,,,,,,,,,,
2024-02-06 19:00:00-05:00,121.55999755859376,122.68000030517578,121.55999755859376,122.47000122070312,674900.0,,,,,,,,,,
2024-02-07 19:00:00-05:00,123.5199966430664,125.11000061035156,122.4800033569336,124.9499969482422,794100.0,,,,,,,,,,
2024-02-08 19:00:00-05:00,124.5999984741211,125.9800033569336,123.98999786376952,125.94000244140624,616700.0,,,,,,,,,,
