Date,Open,High,Low,Close,Volume,"('Adj Close', 'CENX')","('Close', 'CENX')","('High', 'CENX')","('Low', 'CENX')","('Open', 'CENX')","('Volume', 'CENX')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,11.890000343322754,12.279999732971191,11.710000038146973,11.920000076293944,1780100.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,11.5,11.529999732971191,10.720000267028809,10.760000228881836,2380800.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,10.720000267028809,11.1899995803833,10.670000076293944,10.90999984741211,2059500.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,10.729999542236328,11.130000114440918,10.579999923706056,10.949999809265137,971500.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,10.880000114440918,10.880000114440918,10.550000190734863,10.649999618530272,1597800.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,11.399999618530272,12.56999969482422,11.18000030517578,11.6899995803833,3992000.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,11.640000343322754,11.779999732971191,11.220000267028809,11.359999656677246,1603200.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,11.380000114440918,11.4399995803833,11.109999656677246,11.34000015258789,1212700.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,11.59000015258789,11.739999771118164,10.829999923706056,10.890000343322754,1153200.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,10.789999961853027,10.880000114440918,10.43000030517578,10.529999732971191,1505400.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,10.25,10.579999923706056,10.18000030517578,10.5,1061500.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,10.56999969482422,10.670000076293944,10.220000267028809,10.229999542236328,1152700.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,10.359999656677246,10.369999885559082,10.020000457763672,10.270000457763672,1221900.0,,,,,,,,,,
