Date,Open,High,Low,Close,Volume,"('Adj Close', 'EMBC')","('Close', 'EMBC')","('High', 'EMBC')","('Low', 'EMBC')","('Open', 'EMBC')","('Volume', 'EMBC')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,18.63999938964844,19.790000915527344,18.489999771118164,19.06999969482422,508500.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,18.989999771118164,19.01000022888184,18.11000061035156,18.290000915527344,538300.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,18.420000076293945,18.809999465942383,18.270000457763672,18.420000076293945,294800.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,18.200000762939453,18.549999237060547,18.149999618530277,18.239999771118164,182600.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,18.25,19.32999992370605,18.200000762939453,19.32999992370605,438600.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,19.15999984741211,19.25,18.43000030517578,18.46999931335449,302700.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,18.450000762939453,18.670000076293945,18.26000022888184,18.399999618530277,222000.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,18.440000534057617,18.51499938964844,17.56999969482422,17.575000762939453,381400.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,17.760000228881836,17.799999237060547,17.229999542236328,17.25,281000.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,17.079999923706055,17.40999984741211,16.950000762939453,17.229999542236328,346200.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,16.920000076293945,17.15999984741211,16.53499984741211,16.780000686645508,372300.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,16.899999618530273,17.200000762939453,16.46500015258789,17.020000457763672,233400.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,17.110000610351562,17.15999984741211,16.739999771118164,16.93000030517578,233600.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,17.010000228881836,17.34600067138672,16.920000076293945,16.979999542236328,362300.0,,,,,,,,,,
