Date,Open,High,Low,Close,Volume,"('Adj Close', 'FGF')","('Close', 'FGF')","('High', 'FGF')","('Low', 'FGF')","('Open', 'FGF')","('Volume', 'FGF')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,40.59999847412109,40.75,40.0,40.0,204.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,35.79999923706055,37.875,35.0,35.5,540.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,36.67499923706055,40.5,35.25,37.5,1316.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,36.75,36.75,35.5,36.5,504.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,35.0,37.0,35.0,36.0,48.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,37.0,37.0,35.0,35.0,52.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,35.0,35.0,35.0,35.0,0.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,35.0,35.625,32.75,33.75,400.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,35.0,35.25,35.0,35.25,52.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,36.25,36.25,35.0,36.0,112.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,36.0,36.75,33.5,33.5,140.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,35.125,35.625,35.0,35.625,104.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,32.75,34.75,32.75,34.125,256.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,31.75,32.75,31.75,32.5,396.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,33.0,33.0,33.0,33.0,8.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,35.0,35.0,33.025001525878906,33.025001525878906,200.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,34.900001525878906,34.900001525878906,34.0,34.0,16.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,34.75,34.75,34.75,34.75,20.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,35.0,35.25,35.0,35.25,12.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,36.25,36.25,36.25,36.25,88.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,34.75,37.75,34.75,35.0,128.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,38.0,38.0,35.57500076293945,35.57500076293945,188.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,34.5,36.75,34.5,36.5,220.0,,,,,,,,,,
