Date,Open,High,Low,Close,Volume,"('Adj Close', 'CMBM')","('Close', 'CMBM')","('High', 'CMBM')","('Low', 'CMBM')","('Open', 'CMBM')","('Volume', 'CMBM')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,6.03000020980835,6.179999828338623,5.820000171661377,6.010000228881836,172700.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,5.909999847412109,6.090000152587891,5.849999904632568,5.869999885559082,157000.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,5.880000114440918,5.960000038146973,5.71999979019165,5.78000020980835,138700.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,5.849999904632568,5.849999904632568,5.079999923706055,5.190000057220459,162500.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,5.159999847412109,5.579999923706055,5.145999908447266,5.449999809265137,139100.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,5.320000171661377,5.349999904632568,4.804999828338623,4.824999809265137,192100.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,4.820000171661377,4.949999809265137,4.71999979019165,4.940000057220459,97500.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,5.050000190734863,5.090000152587891,4.820000171661377,4.929999828338623,103600.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,4.980000019073486,5.070000171661377,4.820000171661377,4.829999923706055,108500.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,4.75,4.795000076293945,4.71999979019165,4.75,99100.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,4.75,4.840000152587891,4.619999885559082,4.78000020980835,106700.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,4.820000171661377,4.889999866485596,4.75,4.840000152587891,111400.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,4.510000228881836,4.760000228881836,4.065999984741211,4.239999771118164,311000.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,4.320000171661377,4.320000171661377,4.070000171661377,4.21999979019165,153500.0,,,,,,,,,,
