Date,Open,High,Low,Close,Volume,"('Adj Close', 'ARW')","('Close', 'ARW')","('High', 'ARW')","('Low', 'ARW')","('Open', 'ARW')","('Volume', 'ARW')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,121.3000030517578,121.62000274658205,119.0999984741211,119.88999938964844,674800.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,118.91000366210938,118.91000366210938,117.20999908447266,117.98999786376952,763100.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,117.43000030517578,118.08999633789062,116.9499969482422,117.4499969482422,707900.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,117.11000061035156,119.08999633789062,115.83000183105467,116.9000015258789,786600.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,117.22000122070312,117.8499984741211,116.58999633789062,117.18000030517578,582900.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,115.58999633789062,116.77999877929688,114.52999877929688,115.37999725341795,802300.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,115.18000030517578,116.20999908447266,114.2300033569336,115.61000061035156,796600.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,115.33999633789062,116.37999725341795,114.91000366210938,116.1999969482422,461100.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,117.16000366210938,117.16000366210938,115.2300033569336,115.5,491500.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,114.62000274658205,116.25,113.86000061035156,115.4499969482422,825400.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,114.41999816894533,115.22000122070312,113.87999725341795,114.1500015258789,714900.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,115.48999786376952,116.61000061035156,114.88999938964844,116.5500030517578,392300.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,117.36000061035156,117.55999755859376,115.81999969482422,116.83000183105467,351200.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,117.25,117.66000366210938,116.41000366210938,116.9499969482422,356900.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,117.75,117.7699966430664,116.38999938964844,116.43000030517578,328200.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,117.4000015258789,117.4000015258789,114.8499984741211,115.0,480100.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,115.93000030517578,116.2699966430664,115.05999755859376,115.22000122070312,456200.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,115.23999786376952,115.58000183105467,113.76000213623048,114.25,422700.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,113.63999938964844,114.02999877929688,112.62999725341795,113.68000030517578,402200.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,114.0,114.83999633789062,113.11000061035156,113.6500015258789,628200.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,112.7300033569336,112.9800033569336,110.86000061035156,111.1500015258789,520900.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,111.6500015258789,112.23999786376952,109.1999969482422,111.45999908447266,640000.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,110.41999816894533,112.29000091552734,110.0,111.30999755859376,428800.0,,,,,,,,,,
2024-02-04 19:00:00-05:00,110.80999755859376,111.36000061035156,109.81999969482422,109.94000244140624,553900.0,,,,,,,,,,
2024-02-05 19:00:00-05:00,109.4800033569336,110.5500030517578,109.22000122070312,109.6999969482422,830900.0,,,,,,,,,,
2024-02-06 19:00:00-05:00,109.7699966430664,110.4800033569336,108.7699966430664,108.9800033569336,688000.0,,,,,,,,,,
2024-02-07 19:00:00-05:00,110.6500015258789,113.48999786376952,110.01000213623048,113.4000015258789,1288500.0,,,,,,,,,,
2024-02-08 19:00:00-05:00,109.58000183105467,113.0199966430664,109.58000183105467,111.30999755859376,1138800.0,,,,,,,,,,
2024-02-11 19:00:00-05:00,111.33999633789062,113.72000122070312,111.20999908447266,113.23999786376952,493400.0,,,,,,,,,,
2024-02-12 19:00:00-05:00,110.41999816894533,110.97000122070312,108.51000213623048,109.8499984741211,737500.0,,,,,,,,,,
2024-02-13 19:00:00-05:00,111.1500015258789,112.26000213623048,110.4000015258789,112.19000244140624,486300.0,,,,,,,,,,
2024-02-14 19:00:00-05:00,112.62000274658205,113.97000122070312,112.62000274658205,113.76000213623048,400300.0,,,,,,,,,,
