Date,Open,High,Low,Close,Volume,"('Adj Close', 'SSD')","('Close', 'SSD')","('High', 'SSD')","('Low', 'SSD')","('Open', 'SSD')","('Volume', 'SSD')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,195.4499969482422,196.4199981689453,191.7700042724609,193.67999267578125,203000.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,194.92999267578125,194.92999267578125,185.97999572753903,186.75,238800.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,185.9199981689453,188.19000244140625,185.50999450683597,185.7899932861328,214400.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,184.50999450683597,187.6199951171875,183.13999938964844,183.75999450683597,230700.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,184.25,187.16000366210935,183.05999755859372,187.08999633789065,178200.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,184.5800018310547,184.72000122070312,183.41000366210935,183.9199981689453,160400.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,184.58999633789065,186.16000366210935,183.0,183.6000061035156,198000.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,183.5200042724609,185.3300018310547,179.77000427246094,184.22000122070312,289200.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,187.1000061035156,187.1000061035156,180.6000061035156,182.19000244140625,179200.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,180.0500030517578,180.91000366210935,178.1300048828125,180.83999633789065,166800.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,178.2899932861328,181.6199951171875,178.2899932861328,181.1300048828125,149600.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,182.8800048828125,183.91000366210935,179.6199951171875,183.6999969482422,139200.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,184.07000732421875,184.07000732421875,179.8300018310547,182.3300018310547,137300.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,184.16000366210935,186.52999877929688,184.16000366210935,186.08999633789065,181700.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,186.3999938964844,186.3999938964844,180.57000732421875,181.75,175300.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,183.72999572753903,183.72999572753903,179.4499969482422,179.88999938964844,144800.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,182.08999633789065,183.3000030517578,180.55999755859372,182.3800048828125,154200.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,183.1999969482422,183.3699951171875,181.5500030517578,182.3500061035156,155600.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,182.8600006103516,187.0500030517578,182.8600006103516,186.8800048828125,159800.0,,,,,,,,,,
