Date,Open,High,Low,Close,Volume,"('Adj Close', 'BR')","('Close', 'BR')","('High', 'BR')","('Low', 'BR')","('Open', 'BR')","('Volume', 'BR')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,204.3500061035156,204.9600067138672,199.0,199.88999938964844,616300.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,199.5200042724609,199.7400054931641,197.1000061035156,197.1199951171875,399800.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,197.69000244140625,199.58999633789065,197.02999877929688,197.08999633789065,366700.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,196.77999877929688,198.27999877929688,195.8999938964844,196.3500061035156,515200.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,197.22999572753903,200.0399932861328,196.16000366210935,200.0,497700.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,198.82000732421875,200.27999877929688,198.1999969482422,200.0,370700.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,200.52999877929688,202.0200042724609,199.0800018310547,201.97000122070312,304800.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,202.4199981689453,202.50999450683597,200.02999877929688,201.2100067138672,426700.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,202.1100006103516,202.66000366210935,200.7100067138672,202.6000061035156,300200.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,200.77999877929688,202.7899932861328,200.0399932861328,202.16000366210935,422600.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,202.5399932861328,204.8000030517578,201.32000732421875,201.9499969482422,402800.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,202.0800018310547,203.17999267578125,200.3000030517578,201.22999572753903,450100.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,201.88999938964844,205.00999450683597,201.1499938964844,204.88999938964844,442600.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,205.30999755859372,206.88999938964844,205.30999755859372,206.3800048828125,367400.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,206.3600006103516,207.4199981689453,205.6499938964844,206.32000732421875,343000.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,206.55999755859372,207.77999877929688,205.47999572753903,206.07000732421875,443600.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,206.50999450683597,208.47999572753903,206.50999450683597,208.25,539600.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,208.0200042724609,209.6100006103516,207.52999877929688,207.8800048828125,690400.0,,,,,,,,,,
