Date,Open,High,Low,Close,Volume,"('Adj Close', 'CASI')","('Close', 'CASI')","('High', 'CASI')","('Low', 'CASI')","('Open', 'CASI')","('Volume', 'CASI')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,7.050000190734863,7.269999980926514,6.809999942779541,7.21999979019165,20900.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,6.940000057220459,7.099999904632568,6.510000228881836,6.579999923706055,26000.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,6.550000190734863,7.0,6.550000190734863,6.849999904632568,20100.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,6.849999904632568,6.96999979019165,6.309999942779541,6.659999847412109,24700.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,6.53000020980835,6.730000019073486,6.0,6.170000076293945,72600.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,6.190000057220459,6.5,6.130000114440918,6.5,17600.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,6.440000057220459,6.659999847412109,6.25,6.260000228881836,19000.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,6.199999809265137,6.389999866485596,6.0,6.150000095367432,23000.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,6.170000076293945,6.289999961853027,6.03000020980835,6.079999923706055,20600.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,5.760000228881836,5.920000076293945,5.269999980926514,5.389999866485596,51500.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,5.309999942779541,5.480000019073486,4.789999961853027,4.949999809265137,41800.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,4.900000095367432,5.670000076293945,4.789999961853027,5.039999961853027,54900.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,4.900000095367432,5.28000020980835,4.630000114440918,4.769999980926514,55700.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,4.659999847412109,5.519999980926514,4.610000133514404,5.010000228881836,60600.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,5.260000228881836,5.5,5.059999942779541,5.420000076293945,23100.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,5.510000228881836,7.050000190734863,5.269999980926514,6.099999904632568,139900.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,6.400000095367432,7.929999828338623,6.099999904632568,7.849999904632568,202500.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,7.829999923706055,8.1899995803833,6.840000152587891,7.0,65800.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,6.869999885559082,7.210000038146973,6.550000190734863,6.610000133514404,20900.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,6.409999847412109,6.980000019073486,6.170000076293945,6.550000190734863,22800.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,6.610000133514404,6.860000133514404,6.550000190734863,6.860000133514404,17500.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,7.150000095367432,7.190000057220459,6.190000057220459,6.579999923706055,52300.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,6.440000057220459,6.440000057220459,6.0,6.289999961853027,20300.0,,,,,,,,,,
2024-02-04 19:00:00-05:00,6.25,6.480000019073486,6.039999961853027,6.400000095367432,11400.0,,,,,,,,,,
