Date,Open,High,Low,Close,Volume,"('Adj Close', 'VRTS')","('Close', 'VRTS')","('High', 'VRTS')","('Low', 'VRTS')","('Open', 'VRTS')","('Volume', 'VRTS')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,239.4600067138672,240.25,233.75,235.6300048828125,32000.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,234.6699981689453,234.6699981689453,228.7700042724609,229.1100006103516,46600.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,231.0800018310547,238.7100067138672,231.0800018310547,238.0200042724609,24800.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,235.4499969482422,238.9600067138672,233.41000366210935,234.1999969482422,49700.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,233.7700042724609,238.80999755859372,233.7700042724609,238.4499969482422,22600.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,235.17999267578125,236.5,232.41000366210935,233.3699951171875,37500.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,233.3699951171875,236.57000732421875,231.57000732421875,233.25,31900.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,232.80999755859372,235.0,230.63999938964844,232.77999877929688,38100.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,236.38999938964844,237.6699981689453,234.16000366210935,237.16000366210935,31400.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,234.13999938964844,237.52999877929688,228.97000122070312,230.41000366210935,42000.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,226.0,232.2899932861328,226.0,229.2899932861328,38400.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,229.75,232.57000732421875,228.3999938964844,231.8699951171875,40600.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,230.94000244140625,242.42999267578125,230.8999938964844,240.1499938964844,39200.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,240.7899932861328,245.5399932861328,240.7899932861328,244.69000244140625,37900.0,,,,,,,,,,
