Date,Open,High,Low,Close,Volume,"('Adj Close', 'WST')","('Close', 'WST')","('High', 'WST')","('Low', 'WST')","('Open', 'WST')","('Volume', 'WST')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,349.6300048828125,356.20001220703125,346.2099914550781,348.69000244140625,730200.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,345.95001220703125,347.29998779296875,337.0,338.2699890136719,509000.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,336.6099853515625,342.54998779296875,336.6099853515625,340.32000732421875,503600.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,338.79998779296875,341.5899963378906,337.3699951171875,339.4800109863281,427900.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,340.760009765625,352.2200012207031,340.760009765625,351.8500061035156,422300.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,349.2699890136719,353.82000732421875,344.8099975585937,349.3399963378906,670800.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,352.0899963378906,357.1700134277344,351.8699951171875,357.1600036621094,258700.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,354.94000244140625,357.8399963378906,349.3800048828125,354.6300048828125,337600.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,356.0400085449219,358.20001220703125,346.5,346.7699890136719,351400.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,345.010009765625,348.0599975585937,342.57000732421875,346.5,381700.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,343.54998779296875,345.5599975585937,339.3599853515625,339.510009765625,228900.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,339.8399963378906,344.19000244140625,338.1300048828125,342.8699951171875,314800.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,343.45001220703125,343.45001220703125,339.7900085449219,342.739990234375,385800.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,344.8399963378906,349.8900146484375,343.489990234375,347.1099853515625,304800.0,,,,,,,,,,
