Date,Open,High,Low,Close,Volume,"('Adj Close', 'CETX')","('Close', 'CETX')","('High', 'CETX')","('Low', 'CETX')","('Open', 'CETX')","('Volume', 'CETX')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,10185.0,10185.0,9933.0,10017.0,4.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,10311.0,10311.0,9571.7998046875,9594.900390625,4.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,9859.5,10080.0,9681.0,10038.0,5.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,10038.0,10038.0,9912.0,9912.0,0.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,9765.0,10437.0,9765.0,10214.400390625,8.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,10088.400390625,10479.0,10088.400390625,10185.0,5.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,10101.0,10285.7998046875,9765.0,9975.0,6.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,9786.0,10197.599609375,9573.900390625,9681.0,5.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,9681.0,9933.0,9429.0,9660.0,11.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,9639.0,9639.0,8589.0,9198.0,7.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,9156.0,9240.0,8799.0,9009.0,4.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,8358.0,8358.0,7686.0,7854.0,28.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,8303.400390625,8303.400390625,7854.0,7854.0,11.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,7896.0,8211.0,7854.0,7854.0,3.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,7854.0,7980.0,7560.0,7665.0,5.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,7812.0,7875.0,7371.0,7371.0,1.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,7308.0,7707.0,7268.10009765625,7497.0,3.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,7581.0,7770.0,7434.0,7665.0,3.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,7644.0,7864.5,7644.0,7646.10009765625,2.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,7644.0,7644.0,7297.5,7371.0,3.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,7770.0,8610.0,6153.0,8610.0,328.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,8211.0,8211.0,7245.0,7518.0,13.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,7056.0,7665.0,6741.0,6741.0,15.0,,,,,,,,,,
2024-02-04 19:00:00-05:00,6951.0,7408.7998046875,6720.0,6720.0,8.0,,,,,,,,,,
2024-02-05 19:00:00-05:00,6636.0,7085.39990234375,6552.0,7035.0,6.0,,,,,,,,,,
2024-02-06 19:00:00-05:00,6825.0,6940.5,6720.0,6783.0,2.0,,,,,,,,,,
2024-02-07 19:00:00-05:00,6762.0,7224.0,6657.0,6720.0,7.0,,,,,,,,,,
2024-02-08 19:00:00-05:00,6972.0,7770.0,6930.0,7665.0,17.0,,,,,,,,,,
2024-02-11 19:00:00-05:00,7875.0,8169.0,7581.0,7833.0,12.0,,,,,,,,,,
2024-02-12 19:00:00-05:00,8064.0,8064.0,6111.0,6405.0,30.0,,,,,,,,,,
2024-02-13 19:00:00-05:00,6972.0,6972.0,6510.0,6510.0,3.0,,,,,,,,,,
2024-02-14 19:00:00-05:00,6510.0,6699.0,6510.0,6699.0,3.0,,,,,,,,,,
2024-02-15 19:00:00-05:00,6909.0,6930.0,6638.10009765625,6741.0,7.0,,,,,,,,,,
2024-02-19 19:00:00-05:00,6741.0,7085.39990234375,6615.0,6720.0,6.0,,,,,,,,,,
2024-02-20 19:00:00-05:00,6636.0,6751.5,6342.0,6342.0,9.0,,,,,,,,,,
2024-02-21 19:00:00-05:00,6558.2998046875,7161.0,6405.0,7100.10009765625,21.0,,,,,,,,,,
2024-02-22 19:00:00-05:00,6814.5,7074.89990234375,6539.39990234375,6801.89990234375,8.0,,,,,,,,,,
2024-02-25 19:00:00-05:00,6835.5,7045.5,6510.0,6846.0,9.0,,,,,,,,,,
2024-02-26 19:00:00-05:00,6984.60009765625,7320.60009765625,6615.0,7161.0,19.0,,,,,,,,,,
2024-02-27 19:00:00-05:00,6972.0,7875.0,6972.0,7854.0,17.0,,,,,,,,,,
2024-02-28 19:00:00-05:00,7875.0,8190.0,7602.0,7875.0,13.0,,,,,,,,,,
2024-02-29 19:00:00-05:00,7392.0,8358.0,7371.0,7938.0,11.0,,,,,,,,,,
2024-03-03 19:00:00-05:00,7917.0,8156.39990234375,7602.0,7896.0,17.0,,,,,,,,,,
2024-03-04 19:00:00-05:00,8022.0,8022.0,7087.5,7350.0,12.0,,,,,,,,,,
