Date,Open,High,Low,Close,Volume,"('Adj Close', 'MULN')","('Close', 'MULN')","('High', 'MULN')","('Low', 'MULN')","('Open', 'MULN')","('Volume', 'MULN')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,1358.0,1420.0,1207.0,1286.0,14072.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,1250.0,1395.0,1171.0,1266.0,14345.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,1252.0,1341.0,1220.0,1269.0,9271.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,1264.0,1340.0,1210.0,1340.0,6032.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,1317.0,1379.0,1268.0,1304.0,7258.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,1277.0,1495.0,1277.0,1432.0,12845.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,1436.0,1440.0,1330.0,1377.0,7292.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,1371.0,1380.0,1215.0,1235.0,5970.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,1245.0,1250.0,1100.0,1103.0,6427.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,1101.0,1205.0,1060.0,1169.0,5817.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,1046.0,1148.0,1038.0,1052.0,5391.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,1054.0,1068.0,880.0,898.0,8404.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,904.0,905.0,758.0,782.0,15084.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,772.0,860.0,713.0,759.0,13236.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,780.0,781.0,701.0,711.0,11021.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,705.0,706.0,636.0,661.0,11602.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,639.0,748.0,639.0,686.0,9777.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,685.0,707.0,653.0,668.0,5077.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,676.0,797.0,661.0,779.0,13565.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,750.0,766.0,701.0,719.0,5569.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,715.0,747.0,700.0,702.0,3850.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,715.0,745.0,701.0,727.0,3854.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,720.0,727.0,681.0,706.0,3330.0,,,,,,,,,,
2024-02-04 19:00:00-05:00,695.0,725.0,670.0,685.0,2674.0,,,,,,,,,,
2024-02-05 19:00:00-05:00,711.0,758.0,689.0,690.0,8430.0,,,,,,,,,,
2024-02-06 19:00:00-05:00,698.0,708.0,675.0,675.0,4305.0,,,,,,,,,,
2024-02-07 19:00:00-05:00,680.0,703.0,670.0,687.0,5013.0,,,,,,,,,,
2024-02-08 19:00:00-05:00,688.0,715.0,678.0,697.0,4774.0,,,,,,,,,,
2024-02-11 19:00:00-05:00,701.0,784.0,698.0,770.0,8311.0,,,,,,,,,,
2024-02-12 19:00:00-05:00,750.0,759.0,689.0,698.0,9287.0,,,,,,,,,,
2024-02-13 19:00:00-05:00,710.0,724.0,693.0,707.0,4638.0,,,,,,,,,,
2024-02-14 19:00:00-05:00,705.0,764.0,705.0,761.0,4557.0,,,,,,,,,,
2024-02-15 19:00:00-05:00,795.0,987.0,770.0,913.0,25767.0,,,,,,,,,,
2024-02-19 19:00:00-05:00,914.0,914.0,793.0,803.0,7905.0,,,,,,,,,,
2024-02-20 19:00:00-05:00,801.0,864.0,786.0,821.0,5845.0,,,,,,,,,,
2024-02-21 19:00:00-05:00,818.0,818.0,730.0,740.0,6907.0,,,,,,,,,,
2024-02-22 19:00:00-05:00,738.0,747.0,710.0,720.0,4710.0,,,,,,,,,,
2024-02-25 19:00:00-05:00,715.0,740.0,701.0,706.0,4619.0,,,,,,,,,,
2024-02-26 19:00:00-05:00,716.0,757.0,714.0,731.0,4285.0,,,,,,,,,,
2024-02-27 19:00:00-05:00,733.0,780.0,692.0,711.0,8802.0,,,,,,,,,,
2024-02-28 19:00:00-05:00,712.0,730.0,696.0,712.0,5388.0,,,,,,,,,,
2024-02-29 19:00:00-05:00,719.0,725.0,680.0,702.0,4746.0,,,,,,,,,,
2024-03-03 19:00:00-05:00,700.0,713.0,681.0,688.0,4607.0,,,,,,,,,,
2024-03-04 19:00:00-05:00,690.0,690.0,642.0,656.0,6580.0,,,,,,,,,,
2024-03-05 19:00:00-05:00,667.0,701.0,620.0,635.0,5852.0,,,,,,,,,,
2024-03-06 19:00:00-05:00,639.0,739.0,638.0,677.0,10455.0,,,,,,,,,,
2024-03-07 19:00:00-05:00,674.0,711.0,671.0,682.0,3167.0,,,,,,,,,,
2024-03-10 20:00:00-04:00,680.0,700.0,667.0,673.0,3586.0,,,,,,,,,,
2024-03-11 20:00:00-04:00,671.0,675.0,651.0,655.0,2246.0,,,,,,,,,,
2024-03-12 20:00:00-04:00,650.0,669.0,638.0,640.0,2945.0,,,,,,,,,,
2024-03-13 20:00:00-04:00,640.0,644.0,565.0,572.0,9472.0,,,,,,,,,,
2024-03-14 20:00:00-04:00,576.0,576.0,548.0,550.0,6318.0,,,,,,,,,,
2024-03-17 20:00:00-04:00,554.0,554.0,513.0,516.0,6481.0,,,,,,,,,,
2024-03-18 20:00:00-04:00,512.0,519.0,455.0,465.0,13353.0,,,,,,,,,,
2024-03-19 20:00:00-04:00,463.0,484.0,445.0,459.0,5969.0,,,,,,,,,,
2024-03-20 20:00:00-04:00,462.0,525.0,448.0,457.0,18330.0,,,,,,,,,,
2024-03-21 20:00:00-04:00,458.0,458.0,411.0,421.0,8305.0,,,,,,,,,,
2024-03-24 20:00:00-04:00,426.0,464.0,424.0,455.0,7879.0,,,,,,,,,,
2024-03-25 20:00:00-04:00,455.0,458.0,425.0,431.0,5451.0,,,,,,,,,,
2024-03-26 20:00:00-04:00,428.0,437.0,426.0,435.0,2272.0,,,,,,,,,,
2024-03-27 20:00:00-04:00,439.0,559.0,437.0,520.0,19979.0,,,,,,,,,,
2024-03-31 20:00:00-04:00,514.0,525.0,463.0,500.0,7315.0,,,,,,,,,,
2024-04-01 20:00:00-04:00,494.0,496.0,462.0,466.0,3661.0,,,,,,,,,,
2024-04-02 20:00:00-04:00,462.0,470.0,444.0,448.0,5090.0,,,,,,,,,,
2024-04-03 20:00:00-04:00,459.0,459.0,406.0,408.0,10253.0,,,,,,,,,,
2024-04-04 20:00:00-04:00,414.0,415.0,380.0,400.0,6222.0,,,,,,,,,,
2024-04-07 20:00:00-04:00,400.0,429.0,395.0,411.0,5713.0,,,,,,,,,,
2024-04-08 20:00:00-04:00,409.0,414.0,396.0,399.0,3263.0,,,,,,,,,,
2024-04-09 20:00:00-04:00,390.0,405.0,385.0,402.0,2990.0,,,,,,,,,,
2024-04-10 20:00:00-04:00,396.0,402.0,388.0,394.0,2924.0,,,,,,,,,,
2024-04-11 20:00:00-04:00,388.0,392.0,375.0,377.0,3249.0,,,,,,,,,,
2024-04-14 20:00:00-04:00,367.0,373.0,319.0,323.0,9588.0,,,,,,,,,,
2024-04-15 20:00:00-04:00,318.0,339.0,318.0,324.0,3897.0,,,,,,,,,,
2024-04-16 20:00:00-04:00,324.0,330.0,285.0,288.0,10466.0,,,,,,,,,,
2024-04-17 20:00:00-04:00,286.0,300.0,283.0,291.0,6914.0,,,,,,,,,,
2024-04-18 20:00:00-04:00,286.0,291.0,257.0,260.0,9152.0,,,,,,,,,,
2024-04-21 20:00:00-04:00,261.0,264.0,236.0,255.0,10641.0,,,,,,,,,,
2024-04-22 20:00:00-04:00,256.0,284.0,251.0,273.0,7350.0,,,,,,,,,,
2024-04-23 20:00:00-04:00,282.0,409.0,281.0,377.0,127944.0,,,,,,,,,,
2024-04-24 20:00:00-04:00,362.0,365.0,311.0,317.0,17626.0,,,,,,,,,,
2024-04-25 20:00:00-04:00,314.0,355.0,308.0,316.0,11610.0,,,,,,,,,,
2024-04-28 20:00:00-04:00,399.0,610.0,364.0,572.0,721179.0,,,,,,,,,,
2024-04-29 20:00:00-04:00,674.0,745.0,579.0,629.0,509875.0,,,,,,,,,,
2024-04-30 20:00:00-04:00,577.0,616.0,482.0,491.0,59499.0,,,,,,,,,,
2024-05-01 20:00:00-04:00,506.0,528.0,426.0,463.0,40268.0,,,,,,,,,,
2024-05-02 20:00:00-04:00,477.0,487.0,413.0,417.0,29236.0,,,,,,,,,,
2024-05-05 20:00:00-04:00,460.0,655.0,436.0,603.0,262663.0,,,,,,,,,,
2024-05-06 20:00:00-04:00,544.0,610.0,505.0,574.0,53992.0,,,,,,,,,,
2024-05-07 20:00:00-04:00,542.0,785.0,537.0,683.0,235791.0,,,,,,,,,,
2024-05-08 20:00:00-04:00,702.0,765.0,616.0,640.0,81887.0,,,,,,,,,,
2024-05-09 20:00:00-04:00,634.0,695.0,594.0,609.0,47718.0,,,,,,,,,,
2024-05-12 20:00:00-04:00,605.0,625.0,558.0,578.0,33734.0,,,,,,,,,,
2024-05-13 20:00:00-04:00,715.0,745.0,611.0,613.0,96453.0,,,,,,,,,,
2024-05-14 20:00:00-04:00,610.0,632.0,535.0,560.0,27349.0,,,,,,,,,,
2024-05-15 20:00:00-04:00,560.0,613.0,548.0,562.0,22420.0,,,,,,,,,,
