Date,Open,High,Low,Close,Volume,"('Adj Close', 'LGMK')","('Close', 'LGMK')","('High', 'LGMK')","('Low', 'LGMK')","('Open', 'LGMK')","('Volume', 'LGMK')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,27.0,27.399999618530277,25.5,26.75,4440.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,27.0,27.5,25.5,26.0,1420.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,27.0,27.0,26.0,26.75,680.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,26.75,27.0,25.75,27.0,1292.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,26.5,26.575000762939453,25.0,26.0,3620.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,26.25,26.5,25.0,25.5,1644.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,26.0,26.25,25.0,26.0,3724.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,26.5,26.5,24.325000762939453,24.75,3232.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,24.0,25.0,24.0,24.5,1108.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,24.5,24.5,23.25,24.100000381469727,2040.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,24.0,24.5,23.25,24.450000762939453,2376.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,25.0,25.25,24.0,24.5,880.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,25.0,25.0,24.049999237060547,24.174999237060547,304.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,24.5,25.5,24.149999618530277,25.25,756.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,25.5,26.25,24.875,26.25,1032.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,25.5,26.0,24.75,24.75,316.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,24.75,26.25,24.75,25.274999618530277,3252.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,25.924999237060547,26.0,25.5,26.0,256.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,26.0,26.75,25.5,25.799999237060547,924.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,25.75,26.475000381469727,25.5,25.75,856.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,25.75,26.125,25.0,26.0,508.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,25.75,26.0,25.5,25.5,200.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,26.25,26.25,25.0,25.25,1164.0,,,,,,,,,,
