Date,Open,High,Low,Close,Volume,"('Adj Close', 'KNSL')","('Close', 'KNSL')","('High', 'KNSL')","('Low', 'KNSL')","('Open', 'KNSL')","('Volume', 'KNSL')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,334.1000061035156,347.32000732421875,334.1000061035156,346.5,191900.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,346.6000061035156,351.2099914550781,342.7950134277344,349.19000244140625,362900.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,351.29998779296875,363.3699951171875,351.29998779296875,358.3500061035156,294100.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,361.0700073242188,362.5499877929688,357.0,358.57000732421875,302700.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,359.3599853515625,361.8299865722656,355.82000732421875,360.9599914550781,283700.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,362.0,363.1900024414063,355.1449890136719,362.2200012207031,166700.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,362.7900085449219,376.6600036621094,362.7900085449219,371.739990234375,240800.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,372.8800048828125,376.2999877929688,368.8399963378906,375.1600036621094,174100.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,377.2000122070313,383.25,377.2000122070313,382.760009765625,140600.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,382.760009765625,389.0400085449219,381.8599853515625,388.4400024414063,213700.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,388.0499877929688,396.1900024414063,388.0499877929688,392.7300109863281,260000.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,391.4200134277344,402.4500122070313,391.4200134277344,397.4299926757813,181900.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,400.0,405.8299865722656,395.3299865722656,398.75,175000.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,400.0,407.0799865722656,399.4249877929688,406.0799865722656,120400.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,407.1900024414063,411.1749877929688,402.3699951171875,404.2300109863281,111100.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,408.3900146484375,411.3200073242188,405.6900024414063,409.3999938964844,113100.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,411.1700134277344,411.1700134277344,395.010009765625,395.0400085449219,185000.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,395.7900085449219,397.4450073242188,387.9400024414063,390.5799865722656,201500.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,389.8399963378906,397.4599914550781,389.8399963378906,397.4500122070313,214800.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,397.989990234375,401.510009765625,395.3599853515625,400.0299987792969,96300.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,401.6700134277344,404.7999877929688,397.1600036621094,397.5700073242188,116200.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,396.55999755859375,396.55999755859375,386.1499938964844,394.2699890136719,170500.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,395.4599914550781,400.7749938964844,394.1799926757813,395.7200012207031,127700.0,,,,,,,,,,
2024-02-04 19:00:00-05:00,395.3999938964844,396.4299926757813,392.9400024414063,394.3999938964844,146900.0,,,,,,,,,,
2024-02-05 19:00:00-05:00,394.2000122070313,403.1300048828125,393.0,401.3900146484375,142000.0,,,,,,,,,,
2024-02-06 19:00:00-05:00,402.2699890136719,411.1400146484375,402.2699890136719,407.1900024414063,154100.0,,,,,,,,,,
2024-02-07 19:00:00-05:00,406.3900146484375,409.9100036621094,404.5299987792969,409.4200134277344,136500.0,,,,,,,,,,
