Date,Open,High,Low,Close,Volume,"('Adj Close', 'WCC')","('Close', 'WCC')","('High', 'WCC')","('Low', 'WCC')","('Open', 'WCC')","('Volume', 'WCC')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,172.52000427246094,174.72999572753906,171.75999450683594,173.5399932861328,335700.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,170.6999969482422,171.36000061035156,167.94000244140625,168.6199951171875,296500.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,168.4499969482422,170.66000366210938,168.05999755859375,168.6999969482422,327700.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,167.94000244140625,170.75999450683594,167.94000244140625,168.83999633789062,279400.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,168.92999267578125,173.10000610351562,167.72999572753906,172.77000427246094,245300.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,169.99000549316406,173.1300048828125,168.9600067138672,172.9199981689453,170900.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,172.6699981689453,173.9499969482422,170.7899932861328,172.60000610351562,199500.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,171.85000610351562,173.0800018310547,169.27999877929688,172.64999389648438,153500.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,174.97000122070312,175.16000366210938,169.42999267578125,169.6699981689453,211800.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,167.86000061035156,169.9499969482422,167.72999572753906,169.47999572753906,323000.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,167.94000244140625,171.1999969482422,167.94000244140625,169.1199951171875,320800.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,171.30999755859375,172.75,169.10000610351562,171.97999572753906,288900.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,171.97999572753906,174.6699981689453,169.67999267578125,174.60000610351562,242100.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,175.6999969482422,177.3300018310547,174.80999755859375,175.66000366210938,226300.0,,,,,,,,,,
