Date,Open,High,Low,Close,Volume,"('Adj Close', 'ECL')","('Close', 'ECL')","('High', 'ECL')","('Low', 'ECL')","('Open', 'ECL')","('Volume', 'ECL')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,196.47000122070312,198.3000030517578,195.1999969482422,198.1999969482422,1158600.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,196.83999633789065,197.55999755859372,195.55999755859372,196.1199951171875,903700.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,195.6999969482422,197.47000122070312,195.1000061035156,195.4900054931641,1065900.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,195.1100006103516,196.19000244140625,194.3800048828125,195.25,760100.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,194.66000366210935,196.0500030517578,193.4600067138672,195.97999572753903,960900.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,194.58999633789065,196.19000244140625,194.33999633789065,195.92999267578125,777700.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,196.05999755859372,197.8600006103516,196.0399932861328,197.38999938964844,601000.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,198.0,198.1000061035156,196.0500030517578,198.0200042724609,847300.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,199.0800018310547,199.1100006103516,197.8500061035156,198.9199981689453,681000.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,199.66000366210935,199.94000244140625,197.72000122070312,199.0399932861328,1078200.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,198.1000061035156,199.3600006103516,196.7700042724609,197.44000244140625,1192800.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,197.9600067138672,200.77999877929688,197.9600067138672,200.4600067138672,1034000.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,200.6199951171875,200.72999572753903,198.00999450683597,199.8699951171875,2739700.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,201.3800048828125,202.2100067138672,199.9199981689453,200.8699951171875,1141400.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,201.47999572753903,202.47999572753903,198.7899932861328,199.17999267578125,1025800.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,198.97000122070312,199.67999267578125,196.47000122070312,196.6199951171875,795900.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,197.47999572753903,198.75,196.77999877929688,198.6199951171875,788400.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,199.08999633789065,199.69000244140625,197.5500030517578,198.4900054931641,688600.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,198.2400054931641,199.25999450683597,197.1999969482422,199.25,1070700.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,199.22999572753903,200.9600067138672,198.5200042724609,200.7400054931641,870000.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,201.0,201.22000122070312,197.4600067138672,198.22000122070312,1715100.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,197.82000732421875,200.0399932861328,196.25999450683597,200.02999877929688,1129800.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,199.05999755859372,200.55999755859372,197.0500030517578,199.3300018310547,1180000.0,,,,,,,,,,
2024-02-04 19:00:00-05:00,196.5399932861328,198.16000366210935,195.4900054931641,195.5500030517578,1769800.0,,,,,,,,,,
2024-02-05 19:00:00-05:00,195.8500061035156,200.2899932861328,195.72000122070312,199.9499969482422,1444500.0,,,,,,,,,,
2024-02-06 19:00:00-05:00,201.19000244140625,203.41000366210935,200.5,203.0,1164900.0,,,,,,,,,,
2024-02-07 19:00:00-05:00,203.0,203.0,201.47000122070312,202.88999938964844,767700.0,,,,,,,,,,
2024-02-08 19:00:00-05:00,202.5,203.6199951171875,200.5,202.72000122070312,997400.0,,,,,,,,,,
2024-02-11 19:00:00-05:00,202.4499969482422,203.97000122070312,201.9900054931641,202.97999572753903,1046800.0,,,,,,,,,,
2024-02-12 19:00:00-05:00,213.6499938964844,221.5500030517578,212.7100067138672,221.17999267578125,3193200.0,,,,,,,,,,
