Date,Open,High,Low,Close,Volume,"('Adj Close', 'KNX')","('Close', 'KNX')","('High', 'KNX')","('Low', 'KNX')","('Open', 'KNX')","('Volume', 'KNX')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,57.380001068115234,58.34000015258789,57.0,57.40999984741211,1377300.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,56.58000183105469,56.720001220703125,55.22999954223633,55.77000045776367,1903300.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,55.59999847412109,55.68000030517578,54.869998931884766,55.52000045776367,2142000.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,55.52000045776367,56.68999862670898,55.2599983215332,56.38999938964844,2100600.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,56.380001068115234,57.68999862670898,56.150001525878906,57.47999954223633,1538000.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,57.060001373291016,57.34000015258789,56.34999847412109,56.5099983215332,1275400.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,56.310001373291016,56.93999862670898,55.790000915527344,56.869998931884766,1694400.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,56.560001373291016,56.560001373291016,55.11000061035156,55.45000076293945,1908600.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,55.720001220703125,55.7400016784668,54.04999923706055,54.369998931884766,2655000.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,53.970001220703125,54.25,53.33000183105469,54.2400016784668,2168200.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,53.59999847412109,53.88999938964844,53.2599983215332,53.58000183105469,1672700.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,53.72999954223633,55.4900016784668,53.59000015258789,55.40999984741211,2670300.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,55.900001525878906,56.150001525878906,54.400001525878906,55.0099983215332,2035400.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,55.68000030517578,57.209999084472656,55.650001525878906,57.04999923706055,2271800.0,,,,,,,,,,
