Date,Open,High,Low,Close,Volume,"('Adj Close', 'HYZN')","('Close', 'HYZN')","('High', 'HYZN')","('Low', 'HYZN')","('Open', 'HYZN')","('Volume', 'HYZN')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,44.5,45.0,41.5,42.0,11742.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,41.95000076293945,42.400001525878906,39.5,40.0,12776.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,40.29999923706055,41.75,40.04999923706055,40.70000076293945,5436.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,40.09999847412109,40.25,37.79999923706055,37.79999923706055,12692.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,38.84999847412109,38.84999847412109,37.04999923706055,37.79999923706055,6436.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,37.5,38.0,36.0,36.59999847412109,8326.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,38.400001525878906,38.400001525878906,35.20000076293945,35.95000076293945,7464.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,36.5,36.5,34.54999923706055,35.150001525878906,9298.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,35.150001525878906,35.5,32.25,32.25,7634.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,33.45000076293945,34.54999923706055,32.150001525878906,32.900001525878906,9858.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,32.5,33.25,27.5,28.700000762939453,20474.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,30.0,31.149999618530277,28.0,28.950000762939453,6610.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,29.0,31.0,28.0,29.5,24046.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,30.0,30.899999618530277,29.0,30.0,45108.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,30.350000381469727,31.299999237060547,29.600000381469727,30.5,6244.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,31.0,33.0,30.5,32.349998474121094,7524.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,33.0,34.70000076293945,33.0,34.45000076293945,5106.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,35.0,38.84999847412109,34.849998474121094,37.95000076293945,10296.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,38.5,40.45000076293945,36.04999923706055,38.95000076293945,12546.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,38.04999923706055,40.75,37.54999923706055,38.45000076293945,7112.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,38.04999923706055,39.45000076293945,37.5,38.5,4008.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,38.5,40.5,37.900001525878906,39.5,7948.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,39.5,39.5,36.5,38.59999847412109,7944.0,,,,,,,,,,
2024-02-04 19:00:00-05:00,37.0,37.29999923706055,32.0,34.400001525878906,5520.0,,,,,,,,,,
2024-02-05 19:00:00-05:00,33.5,36.400001525878906,33.5,35.75,3336.0,,,,,,,,,,
2024-02-06 19:00:00-05:00,36.0,36.5,34.0,34.849998474121094,3892.0,,,,,,,,,,
2024-02-07 19:00:00-05:00,34.5,35.45000076293945,34.5,35.45000076293945,4168.0,,,,,,,,,,
2024-02-08 19:00:00-05:00,36.5,37.5,34.79999923706055,35.45000076293945,3394.0,,,,,,,,,,
2024-02-11 19:00:00-05:00,35.0,35.5,35.0,35.099998474121094,6948.0,,,,,,,,,,
2024-02-12 19:00:00-05:00,36.25,36.25,34.0,35.0,5394.0,,,,,,,,,,
2024-02-13 19:00:00-05:00,35.5,36.0,34.0,34.45000076293945,4712.0,,,,,,,,,,
2024-02-14 19:00:00-05:00,33.95000076293945,36.29999923706055,33.95000076293945,35.849998474121094,6946.0,,,,,,,,,,
2024-02-15 19:00:00-05:00,35.25,36.0,34.04999923706055,34.150001525878906,3490.0,,,,,,,,,,
2024-02-19 19:00:00-05:00,34.0,35.0,32.849998474121094,33.349998474121094,7718.0,,,,,,,,,,
2024-02-20 19:00:00-05:00,33.0,33.849998474121094,31.0,32.5,4224.0,,,,,,,,,,
