Date,Open,High,Low,Close,Volume,"('Adj Close', 'EAF')","('Close', 'EAF')","('High', 'EAF')","('Low', 'EAF')","('Open', 'EAF')","('Volume', 'EAF')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,2.1600000858306885,2.240000009536743,2.069999933242798,2.069999933242798,9578400.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,2.049999952316284,2.049999952316284,1.9299999475479128,1.940000057220459,4705800.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,1.940000057220459,1.9800000190734863,1.8799999952316284,1.9700000286102293,2704600.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,1.940000057220459,2.049999952316284,1.924999952316284,1.9900000095367432,4421500.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,1.9900000095367432,2.049999952316284,1.950000047683716,2.049999952316284,4603500.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,2.0199999809265137,2.0390000343322754,1.840000033378601,1.8799999952316284,4371600.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,1.8600000143051147,1.8600000143051147,1.559999942779541,1.7200000286102295,7091600.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,1.7100000381469729,1.7450000047683716,1.6399999856948853,1.7200000286102295,4208900.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,1.7200000286102295,1.784999966621399,1.690000057220459,1.7000000476837158,4649500.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,1.649999976158142,1.715000033378601,1.5299999713897705,1.6799999475479126,7943900.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,1.600000023841858,1.7100000381469729,1.5299999713897705,1.559999942779541,3010800.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,1.559999942779541,1.5800000429153442,1.4800000190734863,1.4800000190734863,3598900.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,1.5,1.5499999523162842,1.4900000095367432,1.5,4620600.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,1.5299999713897705,1.6200000047683716,1.5,1.5399999618530271,3498000.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,1.5499999523162842,1.6349999904632568,1.5399999618530271,1.6100000143051147,3570000.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,1.6399999856948853,1.6410000324249268,1.5,1.5099999904632568,2060800.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,1.5199999809265137,1.559999942779541,1.5,1.5199999809265137,1574800.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,1.5299999713897705,1.590000033378601,1.5199999809265137,1.5299999713897705,3619300.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,1.5,1.5479999780654907,1.4700000286102295,1.5299999713897705,2824600.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,1.5299999713897705,1.5399999618530271,1.4500000476837158,1.4700000286102295,3449300.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,1.4700000286102295,1.4900000095367432,1.3200000524520874,1.3300000429153442,2881500.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,1.3200000524520874,1.375,1.2999999523162842,1.340000033378601,7469100.0,,,,,,,,,,
