Date,Open,High,Low,Close,Volume,"('Adj Close', 'BMI')","('Close', 'BMI')","('High', 'BMI')","('Low', 'BMI')","('Open', 'BMI')","('Volume', 'BMI')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,152.5800018310547,157.83999633789062,151.6199951171875,156.38999938964844,283500.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,156.64999389648438,156.64999389648438,151.16000366210938,152.1199951171875,248700.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,154.41000366210938,155.41000366210938,152.6699981689453,153.27000427246094,307100.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,152.02000427246094,153.3699951171875,148.69000244140625,149.1199951171875,243900.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,149.24000549316406,153.27999877929688,149.24000549316406,153.27999877929688,120300.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,151.58999633789062,151.58999633789062,147.6199951171875,150.35000610351562,150000.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,150.3000030517578,151.33999633789062,148.86000061035156,151.33999633789062,96200.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,151.0,151.72999572753906,148.6699981689453,150.7100067138672,112600.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,152.67999267578125,152.67999267578125,150.52000427246094,151.72000122070312,122100.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,151.5800018310547,152.60000610351562,150.17999267578125,151.24000549316406,140100.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,150.0,150.35000610351562,148.52000427246094,149.2100067138672,104800.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,149.75999450683594,151.6300048828125,149.19000244140625,151.11000061035156,167800.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,151.91000366210938,152.17999267578125,149.3699951171875,151.72999572753906,320800.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,153.0500030517578,156.27000427246094,153.0500030517578,155.55999755859375,246600.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,156.9499969482422,157.8699951171875,154.27999877929688,154.3300018310547,134700.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,156.08999633789062,156.08999633789062,150.66000366210938,150.6699981689453,140500.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,152.33999633789062,153.0800018310547,150.58999633789062,152.32000732421875,193200.0,,,,,,,,,,
