Date,Open,High,Low,Close,Volume,"('Adj Close', 'FCAP')","('Close', 'FCAP')","('High', 'FCAP')","('Low', 'FCAP')","('Open', 'FCAP')","('Volume', 'FCAP')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,27.86000061035156,27.86000061035156,27.450000762939453,27.450000762939453,2700.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,28.0,28.200000762939453,27.40999984741211,27.780000686645508,6800.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,27.6299991607666,28.71999931335449,27.6299991607666,28.71999931335449,3100.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,28.850000381469727,28.850000381469727,27.86000061035156,28.049999237060547,6500.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,1000.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,500.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,27.700000762939453,29.170000076293945,27.700000762939453,27.81999969482422,2800.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,28.61000061035156,28.61000061035156,28.100000381469727,28.100000381469727,1700.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,27.799999237060547,28.600000381469727,27.799999237060547,28.600000381469727,1800.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,28.799999237060547,28.799999237060547,27.799999237060547,27.799999237060547,1800.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,28.59000015258789,28.59000015258789,27.86000061035156,28.399999618530277,1200.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,28.0,28.5,28.0,28.5,1000.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,28.5,28.5,28.5,28.5,0.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,28.059999465942383,29.190000534057617,28.030000686645508,28.479999542236328,2700.0,,,,,,,,,,
