Date,Open,High,Low,Close,Volume,"('Adj Close', 'BX')","('Close', 'BX')","('High', 'BX')","('Low', 'BX')","('Open', 'BX')","('Volume', 'BX')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,129.1999969482422,129.75,126.7699966430664,128.27000427246094,4500900.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,125.0500030517578,125.4499969482422,121.58000183105467,122.3499984741211,5391000.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,122.25,124.19000244140624,121.5999984741211,122.9000015258789,3215700.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,121.5,123.87999725341795,120.9800033569336,122.20999908447266,2747600.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,122.58000183105467,122.93000030517578,121.22000122070312,122.33999633789062,4273200.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,120.54000091552734,121.70999908447266,119.62000274658205,121.0,5883400.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,120.83000183105467,122.0500030517578,120.0500030517578,121.52999877929688,4049300.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,120.77999877929688,121.4800033569336,118.56999969482422,119.91999816894533,3875100.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,120.4800033569336,121.3000030517578,118.4800033569336,119.33999633789062,2044800.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,118.36000061035156,118.79000091552734,116.61000061035156,118.25,3007900.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,115.9000015258789,117.16000366210938,114.87999725341795,116.9800033569336,3286500.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,117.80999755859376,118.20999908447266,115.62999725341795,117.08999633789062,2334800.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,117.41999816894533,119.25,116.33000183105467,119.08000183105467,4079300.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,119.5999984741211,122.22000122070312,119.5999984741211,120.97000122070312,2973100.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,121.08999633789062,121.62999725341795,118.3499984741211,118.9800033569336,2637400.0,,,,,,,,,,
