Date,Open,High,Low,Close,Volume,"('Adj Close', 'BIIB')","('Close', 'BIIB')","('High', 'BIIB')","('Low', 'BIIB')","('Open', 'BIIB')","('Volume', 'BIIB')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,257.5599975585937,267.989990234375,256.7099914550781,267.7099914550781,1084700.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,268.2699890136719,268.29998779296875,263.3900146484375,263.42999267578125,814300.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,264.5799865722656,264.5799865722656,259.6099853515625,260.2799987792969,949000.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,257.4700012207031,259.92999267578125,255.3800048828125,257.8800048828125,849600.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,255.05999755859372,258.7099914550781,251.52999877929688,257.9800109863281,1419700.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,256.19000244140625,257.2799987792969,253.6100006103516,255.83999633789065,807700.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,254.3600006103516,255.17999267578125,251.0,254.22999572753903,792900.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,252.2899932861328,252.94000244140625,245.0,247.2100067138672,1196600.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,248.1699981689453,250.4499969482422,246.72999572753903,248.1199951171875,769600.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,247.0,247.55999755859372,244.0,246.19000244140625,1055800.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,244.7100067138672,246.19000244140625,242.5200042724609,245.2700042724609,773100.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,243.88999938964844,247.97999572753903,240.8300018310547,246.97000122070312,1172000.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,246.9600067138672,251.27999877929688,244.42999267578125,249.9600067138672,2315000.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,250.3000030517578,252.1699981689453,247.07000732421875,248.3000030517578,787200.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,249.1300048828125,251.9199981689453,248.00999450683597,251.67999267578125,728000.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,248.33999633789065,250.8000030517578,246.97000122070312,247.16000366210935,855100.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,247.22000122070312,249.47000122070312,245.2400054931641,246.2100067138672,695900.0,,,,,,,,,,
