Date,Open,High,Low,Close,Volume,"('Adj Close', 'PG')","('Close', 'PG')","('High', 'PG')","('Low', 'PG')","('Open', 'PG')","('Volume', 'PG')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,146.36000061035156,149.41000366210938,146.30999755859375,148.74000549316406,7238400.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,148.33999633789062,149.1999969482422,147.17999267578125,147.83999633789062,7697500.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,148.0500030517578,149.27000427246094,147.77000427246094,148.64999389648438,7067400.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,148.72000122070312,148.8699951171875,146.5500030517578,147.4199981689453,5294200.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,147.91000366210938,148.9199981689453,147.64999389648438,148.69000244140625,8255300.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,148.57000732421875,149.39999389648438,148.0500030517578,149.3000030517578,9786800.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,149.35000610351562,150.0,149.25999450683594,149.94000244140625,8591100.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,150.0500030517578,150.8000030517578,149.2899932861328,150.50999450683594,6659400.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,150.9499969482422,151.3000030517578,149.88999938964844,150.60000610351562,5684700.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,150.14999389648438,151.5,148.8800048828125,149.7899932861328,8120100.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,149.16000366210938,150.60000610351562,149.00999450683594,149.94000244140625,6541400.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,148.22999572753906,148.39999389648438,146.9199981689453,148.13999938964844,6526200.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,148.25,148.6199951171875,147.30999755859375,147.57000732421875,7738600.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,146.97000122070312,148.2100067138672,146.27999877929688,147.86000061035156,11084100.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,153.11000061035156,156.39999389648438,152.88999938964844,153.97999572753906,19101600.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,153.92999267578125,154.22999572753906,152.08999633789062,152.1199951171875,11592700.0,,,,,,,,,,
