Date,Open,High,Low,Close,Volume,"('Adj Close', 'LECO')","('Close', 'LECO')","('High', 'LECO')","('Low', 'LECO')","('Open', 'LECO')","('Volume', 'LECO')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,215.88999938964844,217.08999633789065,212.42999267578125,213.72000122070312,268400.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,211.5399932861328,212.6300048828125,209.38999938964844,209.6499938964844,318700.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,209.92999267578125,213.0800018310547,209.92999267578125,212.19000244140625,289700.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,211.52999877929688,213.55999755859372,210.30999755859372,211.22999572753903,314600.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,210.1499938964844,212.4199981689453,208.72999572753903,212.2100067138672,245900.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,209.5,210.8999938964844,208.3999938964844,210.32000732421875,210500.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,210.5,211.3500061035156,208.22000122070312,209.19000244140625,215300.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,209.6000061035156,210.7700042724609,207.27999877929688,210.41000366210935,197300.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,211.32000732421875,213.9499969482422,211.1100006103516,212.4499969482422,203000.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,211.1999969482422,212.75999450683597,208.50999450683597,212.6300048828125,180400.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,210.80999755859372,212.38999938964844,210.13999938964844,210.4900054931641,165400.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,211.72999572753903,215.6000061035156,211.72999572753903,215.47999572753903,210900.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,216.3999938964844,220.82000732421875,214.77999877929688,220.72000122070312,350600.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,221.3999938964844,223.6000061035156,221.3999938964844,223.27999877929688,252200.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,225.0,225.0,220.6199951171875,222.67999267578125,213100.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,223.1199951171875,225.5,219.05999755859372,219.9900054931641,185900.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,222.47999572753903,223.9499969482422,221.4499969482422,222.8800048828125,274500.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,223.7400054931641,225.8000030517578,222.47000122070312,224.0500030517578,278700.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,224.3500061035156,225.9499969482422,222.1199951171875,225.7400054931641,199200.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,225.33999633789065,227.6199951171875,223.3600006103516,227.00999450683597,191600.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,227.1300048828125,228.17999267578125,221.92999267578125,222.22000122070312,783600.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,224.0,227.0399932861328,222.0,225.8000030517578,297700.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,225.22999572753903,228.08999633789065,222.25,226.5,235400.0,,,,,,,,,,
2024-02-04 19:00:00-05:00,224.30999755859372,224.30999755859372,221.5800018310547,222.6199951171875,237600.0,,,,,,,,,,
2024-02-05 19:00:00-05:00,222.27999877929688,224.32000732421875,222.27999877929688,223.7700042724609,232900.0,,,,,,,,,,
2024-02-06 19:00:00-05:00,225.1699981689453,228.3800048828125,224.5800018310547,226.83999633789065,311600.0,,,,,,,,,,
2024-02-07 19:00:00-05:00,227.72000122070312,230.5500030517578,226.97000122070312,230.1000061035156,221200.0,,,,,,,,,,
2024-02-08 19:00:00-05:00,230.5,232.63999938964844,229.5399932861328,231.6199951171875,308100.0,,,,,,,,,,
2024-02-11 19:00:00-05:00,231.0800018310547,234.2100067138672,230.6000061035156,231.69000244140625,249900.0,,,,,,,,,,
2024-02-12 19:00:00-05:00,227.0399932861328,230.32000732421875,225.25999450683597,227.25,364600.0,,,,,,,,,,
2024-02-13 19:00:00-05:00,228.5,232.33999633789065,228.5,231.5500030517578,401100.0,,,,,,,,,,
2024-02-14 19:00:00-05:00,239.3600006103516,251.08999633789065,238.5,249.8000030517578,742500.0,,,,,,,,,,
2024-02-15 19:00:00-05:00,249.1999969482422,252.97999572753903,246.4600067138672,249.8999938964844,454600.0,,,,,,,,,,
2024-02-19 19:00:00-05:00,248.7700042724609,249.8999938964844,243.9600067138672,246.9900054931641,380500.0,,,,,,,,,,
