Date,Open,High,Low,Close,Volume,"('Adj Close', 'ALX')","('Close', 'ALX')","('High', 'ALX')","('Low', 'ALX')","('Open', 'ALX')","('Volume', 'ALX')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,212.0,218.5800018310547,212.0,216.1699981689453,10200.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,215.9199981689453,218.5,213.55999755859372,215.67999267578125,12500.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,217.6499938964844,218.4900054931641,213.6000061035156,215.97000122070312,7900.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,217.22000122070312,220.19000244140625,217.22000122070312,218.41000366210935,9400.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,216.8600006103516,218.25999450683597,216.2100067138672,216.8500061035156,7200.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,214.7400054931641,217.8500061035156,212.3500061035156,213.6999969482422,9300.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,214.80999755859372,217.1199951171875,212.0,217.1199951171875,7100.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,218.75,218.75,212.2400054931641,216.8300018310547,8100.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,219.3699951171875,219.3699951171875,216.50999450683597,218.5,7600.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,219.97999572753903,223.8000030517578,210.00999450683597,220.6699981689453,10000.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,217.50999450683597,223.22999572753903,217.50999450683597,223.22999572753903,12200.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,223.8000030517578,223.8000030517578,218.05999755859372,218.05999755859372,7600.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,218.25,226.16000366210935,218.25,223.02999877929688,10400.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,224.8000030517578,230.47999572753903,224.8000030517578,225.32000732421875,5900.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,227.6100006103516,235.8500061035156,223.5200042724609,227.6100006103516,10700.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,230.0,232.92999267578125,228.5,229.05999755859372,6400.0,,,,,,,,,,
