Date,Open,High,Low,Close,Volume,"('Adj Close', 'PRI')","('Close', 'PRI')","('High', 'PRI')","('Low', 'PRI')","('Open', 'PRI')","('Volume', 'PRI')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,205.1999969482422,207.9600067138672,203.2100067138672,207.9499969482422,143900.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,206.5800018310547,209.3800048828125,205.77999877929688,206.00999450683597,128600.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,205.8999938964844,208.42999267578125,205.4900054931641,207.5,150000.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,207.25,210.1499938964844,207.25,207.92999267578125,159700.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,209.07000732421875,211.80999755859372,208.22999572753903,211.63999938964844,137300.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,210.66000366210935,210.75,207.6199951171875,209.16000366210935,108900.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,209.3300018310547,213.08999633789065,209.3300018310547,213.0500030517578,107700.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,213.1199951171875,215.5399932861328,212.4900054931641,215.27999877929688,108500.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,216.3699951171875,218.9499969482422,215.8000030517578,218.7700042724609,112200.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,217.41000366210935,219.2400054931641,217.3800048828125,218.6999969482422,137200.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,218.42999267578125,221.63999938964844,218.42999267578125,221.5399932861328,108400.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,221.5800018310547,223.47999572753903,220.2100067138672,223.0800018310547,106300.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,224.44000244140625,226.58999633789065,223.52999877929688,226.5800018310547,98600.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,227.8500061035156,230.32000732421875,227.57000732421875,229.2100067138672,125300.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,228.5800018310547,229.07000732421875,226.6199951171875,226.8699951171875,92300.0,,,,,,,,,,
