Date,Open,High,Low,Close,Volume,"('Adj Close', 'TTD')","('Close', 'TTD')","('High', 'TTD')","('Low', 'TTD')","('Open', 'TTD')","('Volume', 'TTD')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,71.6500015258789,71.6500015258789,69.91000366210938,70.58999633789062,4800600.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,69.5,70.08300018310547,68.2300033569336,69.31999969482422,3721900.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,68.75,69.16500091552734,68.06999969482422,68.4000015258789,4219400.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,67.85199737548828,68.94999694824219,67.54000091552734,67.63999938964844,4534000.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,67.88999938964844,69.62999725341797,67.16999816894531,68.98999786376953,5640900.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,68.33000183105469,69.43399810791016,67.69000244140625,68.44999694824219,4344500.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,68.44000244140625,69.08000183105469,67.30999755859375,68.4800033569336,5070000.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,68.59500122070312,69.0199966430664,66.97000122070312,68.08000183105469,5622500.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,68.12999725341797,69.16000366210938,66.44999694824219,66.95999908447266,6356000.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,66.2699966430664,66.2699966430664,63.45000076293945,63.7599983215332,7784700.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,62.7599983215332,64.54000091552734,61.47499847412109,64.5,6107100.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,65.7699966430664,66.33499908447266,63.625,65.05000305175781,5002900.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,65.36000061035156,67.01000213623047,64.44999694824219,66.8499984741211,4020900.0,,,,,,,,,,
