Date,Open,High,Low,Close,Volume,"('Adj Close', 'TCRT')","('Close', 'TCRT')","('High', 'TCRT')","('Low', 'TCRT')","('Open', 'TCRT')","('Volume', 'TCRT')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,12.0,13.5,10.5,13.5,35470.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,13.5,13.5,12.0,12.0,25169.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,12.0,22.5,12.0,19.5,133254.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,18.0,28.5,16.5,19.5,267319.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,22.5,25.5,21.0,22.5,73413.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,22.5,24.0,21.0,22.5,34907.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,21.0,21.0,19.5,21.0,23613.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,21.0,21.0,18.0,21.0,28013.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,21.0,27.0,19.5,24.0,51873.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,25.5,25.5,19.5,22.5,20948.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,21.0,22.5,19.5,19.5,12356.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,19.5,21.0,18.0,21.0,9147.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,19.5,19.5,16.5,18.0,14090.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,18.0,21.0,18.0,19.5,10977.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,19.5,21.0,18.0,19.5,23861.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,19.5,33.0,19.5,28.5,117798.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,25.5,31.5,25.5,27.0,33392.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,28.5,28.5,24.0,27.0,11952.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,28.5,28.5,22.5,24.0,24197.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,22.5,25.5,22.5,24.0,9895.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,22.5,27.0,22.5,25.5,17031.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,23.100000381469727,23.899999618530277,19.0,20.299999237060547,37610.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,20.100000381469727,22.5,20.100000381469727,22.200000762939453,26470.0,,,,,,,,,,
2024-02-04 19:00:00-05:00,22.0,23.200000762939453,20.100000381469727,23.200000762939453,17560.0,,,,,,,,,,
2024-02-05 19:00:00-05:00,23.100000381469727,24.600000381469727,22.200000762939453,24.0,11770.0,,,,,,,,,,
