Date,Open,High,Low,Close,Volume,"('Adj Close', 'EFX')","('Close', 'EFX')","('High', 'EFX')","('Low', 'EFX')","('Open', 'EFX')","('Volume', 'EFX')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,244.2400054931641,245.9199981689453,237.88999938964844,239.8699951171875,1000800.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,236.8999938964844,236.8999938964844,230.4499969482422,233.02999877929688,1182300.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,233.7899932861328,237.07000732421875,233.4499969482422,234.08999633789065,760000.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,233.2400054931641,238.47999572753903,233.2400054931641,237.0200042724609,883700.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,240.0200042724609,247.6100006103516,240.0200042724609,246.3699951171875,1069400.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,245.22000122070312,246.3800048828125,242.94000244140625,243.2700042724609,793300.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,244.75,245.9900054931641,242.17999267578125,244.8300018310547,631900.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,242.6999969482422,243.83999633789065,240.16000366210935,242.8300018310547,510600.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,245.05999755859372,245.05999755859372,241.22999572753903,243.75999450683597,571200.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,241.2700042724609,246.6499938964844,239.7899932861328,246.4499969482422,769100.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,244.6199951171875,245.3500061035156,241.42999267578125,244.25999450683597,857700.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,246.4600067138672,248.5200042724609,241.9199981689453,245.32000732421875,638400.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,246.75,246.97999572753903,243.2899932861328,245.33999633789065,1193500.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,247.69000244140625,250.7700042724609,246.5200042724609,248.4900054931641,800500.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,250.57000732421875,250.57000732421875,247.47000122070312,249.1100006103516,574900.0,,,,,,,,,,
