Date,Open,High,Low,Close,Volume,"('Adj Close', 'DKS')","('Close', 'DKS')","('High', 'DKS')","('Low', 'DKS')","('Open', 'DKS')","('Volume', 'DKS')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,145.80999755859375,148.0399932861328,144.86000061035156,146.0,920700.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,144.16000366210938,144.52000427246094,138.75999450683594,138.85000610351562,1314000.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,137.89999389648438,139.83999633789062,137.05999755859375,138.52000427246094,1302200.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,138.36000061035156,141.92999267578125,138.36000061035156,138.92999267578125,812500.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,139.77999877929688,140.49000549316406,138.0399932861328,139.85000610351562,1042700.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,139.07000732421875,142.11000061035156,138.35000610351562,141.02999877929688,1169700.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,141.02999877929688,141.99000549316406,140.30999755859375,140.33999633789062,780200.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,141.02000427246094,141.02000427246094,137.44000244140625,139.85000610351562,1222200.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,140.27999877929688,142.2100067138672,139.74000549316406,140.83999633789062,983900.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,139.61000061035156,144.33999633789062,139.47999572753906,142.75999450683594,1616700.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,141.08999633789062,142.25999450683594,139.75,141.86000061035156,700000.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,142.61000061035156,143.99000549316406,141.02000427246094,143.91000366210938,1059000.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,144.1999969482422,147.14999389648438,142.88999938964844,146.49000549316406,1176900.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,147.17999267578125,153.05999755859375,146.86000061035156,152.27000427246094,1949100.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,153.25999450683594,154.52000427246094,148.94000244140625,150.25,1286200.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,151.4199981689453,151.4199981689453,148.9199981689453,150.7899932861328,870400.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,151.97999572753906,153.50999450683594,151.50999450683594,153.14999389648438,1046200.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,153.6999969482422,155.1699981689453,152.41000366210938,153.02999877929688,729600.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,153.1999969482422,154.36000061035156,150.0399932861328,151.99000549316406,843000.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,152.05999755859375,153.83999633789062,151.4600067138672,153.0800018310547,649100.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,152.6300048828125,153.4499969482422,148.9499969482422,149.07000732421875,807700.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,150.13999938964844,152.8699951171875,149.77999877929688,152.5800018310547,864300.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,151.5,157.17999267578125,150.02999877929688,155.9600067138672,761300.0,,,,,,,,,,
2024-02-04 19:00:00-05:00,153.52999877929688,156.7899932861328,152.4199981689453,156.4499969482422,744700.0,,,,,,,,,,
2024-02-05 19:00:00-05:00,156.4199981689453,158.50999450683594,155.77999877929688,156.94000244140625,746900.0,,,,,,,,,,
2024-02-06 19:00:00-05:00,157.9499969482422,158.60000610351562,156.2100067138672,158.58999633789062,857800.0,,,,,,,,,,
2024-02-07 19:00:00-05:00,159.49000549316406,160.11000061035156,156.64999389648438,159.97000122070312,813400.0,,,,,,,,,,
