Date,Open,High,Low,Close,Volume,"('Adj Close', 'SYK')","('Close', 'SYK')","('High', 'SYK')","('Low', 'SYK')","('Open', 'SYK')","('Volume', 'SYK')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,297.6000061035156,299.94000244140625,294.8699951171875,296.2300109863281,979200.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,295.07000732421875,295.07000732421875,292.42999267578125,293.94000244140625,1355400.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,293.6199951171875,299.8999938964844,292.9599914550781,298.04998779296875,1419000.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,297.5,299.29998779296875,294.42999267578125,295.3299865722656,807300.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,297.0,300.3399963378906,294.3399963378906,299.9800109863281,1126300.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,299.5,305.42999267578125,298.5199890136719,303.25,1343100.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,305.0,308.2099914550781,304.0,307.7799987792969,1302700.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,308.17999267578125,309.5199890136719,306.1000061035156,308.989990234375,920100.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,312.19000244140625,317.260009765625,310.6000061035156,312.8999938964844,1646600.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,310.9100036621094,314.44000244140625,309.6000061035156,314.2900085449219,1599800.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,312.7900085449219,315.0599975585937,311.5400085449219,313.67999267578125,1466600.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,315.8500061035156,317.82000732421875,312.8399963378906,314.7200012207031,1472700.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,315.0799865722656,315.82000732421875,312.45001220703125,315.04998779296875,1905200.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,316.7699890136719,317.2099914550781,312.6300048828125,313.2699890136719,1868500.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,314.0,314.54998779296875,307.5199890136719,312.17999267578125,1366800.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,312.0199890136719,313.0,307.3500061035156,307.75,1420600.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,309.07000732421875,312.0899963378906,307.2300109863281,311.9100036621094,1200700.0,,,,,,,,,,
