Date,Open,High,Low,Close,Volume,"('Adj Close', 'DDS')","('Close', 'DDS')","('High', 'DDS')","('Low', 'DDS')","('Open', 'DDS')","('Volume', 'DDS')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,401.0199890136719,407.30999755859375,392.3500061035156,405.6000061035156,108700.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,400.7300109863281,400.7300109863281,380.8399963378906,381.4400024414063,126600.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,381.4400024414063,381.4400024414063,371.7099914550781,372.3699951171875,98200.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,370.1700134277344,383.4599914550781,370.010009765625,372.739990234375,97400.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,376.2099914550781,402.2200012207031,376.2099914550781,402.0,112600.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,400.4400024414063,400.6799926757813,391.989990234375,398.0,91800.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,397.8999938964844,401.0299987792969,391.7000122070313,395.6400146484375,129500.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,395.6400146484375,397.0,380.010009765625,387.0299987792969,142300.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,391.3399963378906,392.1300048828125,382.3900146484375,385.4400024414063,85100.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,383.7099914550781,387.6799926757813,377.989990234375,383.1799926757813,100200.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,379.9100036621094,384.739990234375,375.0,384.05999755859375,63400.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,383.3299865722656,383.5199890136719,376.05999755859375,383.0,71500.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,383.239990234375,383.239990234375,373.7000122070313,380.510009765625,77300.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,381.6799926757813,396.489990234375,379.9400024414063,395.6900024414063,71700.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,399.4299926757813,402.0799865722656,387.7000122070313,388.8500061035156,70400.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,393.239990234375,394.739990234375,388.0,391.9700012207031,57100.0,,,,,,,,,,
