Date,Open,High,Low,Close,Volume,"('Adj Close', 'AON')","('Close', 'AON')","('High', 'AON')","('Low', 'AON')","('Open', 'AON')","('Volume', 'AON')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,291.44000244140625,292.8500061035156,287.7900085449219,288.0199890136719,1174200.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,288.8900146484375,292.9599914550781,287.79998779296875,290.8900146484375,1244000.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,292.3299865722656,295.3399963378906,290.5,290.739990234375,903300.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,291.1300048828125,292.6099853515625,285.8599853515625,289.5899963378906,867300.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,291.8599853515625,295.92999267578125,290.42999267578125,295.5400085449219,1556700.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,293.44000244140625,294.1700134277344,290.19000244140625,293.9800109863281,826900.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,294.0199890136719,299.3399963378906,293.45001220703125,299.29998779296875,1157500.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,299.4100036621094,300.0400085449219,295.5299987792969,298.6099853515625,1078200.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,299.6199951171875,300.94000244140625,298.9100036621094,300.239990234375,755100.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,299.760009765625,300.8500061035156,297.94000244140625,300.32000732421875,817400.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,300.54998779296875,304.8699951171875,299.4700012207031,303.260009765625,1247400.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,301.1499938964844,308.6700134277344,300.2699890136719,307.2799987792969,1488500.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,309.010009765625,312.75,307.54998779296875,311.5799865722656,1492500.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,311.3399963378906,312.25,305.7699890136719,306.42999267578125,1716500.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,307.760009765625,309.3299865722656,304.25,304.4599914550781,1069900.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,305.7799987792969,306.7900085449219,303.0,304.0599975585937,1070000.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,302.8500061035156,303.75,296.4100036621094,299.7099914550781,1845300.0,,,,,,,,,,
