Date,Open,High,Low,Close,Volume,"('Adj Close', 'MCD')","('Close', 'MCD')","('High', 'MCD')","('Low', 'MCD')","('Open', 'MCD')","('Volume', 'MCD')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,295.04998779296875,297.2799987792969,295.04998779296875,297.0400085449219,4458400.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,297.0,297.989990234375,294.25,294.3900146484375,3114800.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,295.32000732421875,297.2699890136719,290.9200134277344,291.739990234375,4615400.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,289.2099914550781,290.3299865722656,287.20001220703125,288.989990234375,3406900.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,288.510009765625,292.0,287.5199890136719,291.8999938964844,3097000.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,289.6300048828125,290.8699951171875,287.5199890136719,290.8699951171875,2176400.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,291.0,294.3900146484375,290.8699951171875,294.0899963378906,2199700.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,294.45001220703125,294.95001220703125,290.6499938964844,294.1499938964844,2047400.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,295.4599914550781,295.75,292.8399963378906,293.4700012207031,1714200.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,293.4700012207031,294.25,289.9800109863281,291.0899963378906,2859000.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,290.1400146484375,292.3399963378906,290.1300048828125,291.1600036621094,2008200.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,292.0899963378906,294.4800109863281,291.3099975585937,294.3599853515625,2221200.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,298.0,301.0799865722656,296.5199890136719,300.5299987792969,4240800.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,300.95001220703125,302.3900146484375,297.739990234375,298.4100036621094,3250200.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,297.44000244140625,300.2099914550781,297.1300048828125,300.04998779296875,1874000.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,300.0,302.0400085449219,299.3099975585937,300.44000244140625,3209700.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,300.739990234375,301.3099975585937,296.0899963378906,297.2099914550781,3219600.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,295.3299865722656,295.9800109863281,291.70001220703125,292.260009765625,4210500.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,291.6400146484375,292.760009765625,288.3099975585937,292.3099975585937,3899700.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,292.1400146484375,294.9200134277344,290.20001220703125,294.6499938964844,2524200.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,295.8999938964844,297.44000244140625,291.6499938964844,292.7200012207031,3476200.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,291.70001220703125,298.1300048828125,290.2799987792969,298.0799865722656,3380600.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,296.07000732421875,298.1700134277344,293.3500061035156,297.04998779296875,3969400.0,,,,,,,,,,
2024-02-04 19:00:00-05:00,287.010009765625,291.44000244140625,283.3299865722656,285.9700012207031,7581900.0,,,,,,,,,,
