Date,Open,High,Low,Close,Volume,"('Adj Close', 'INSP')","('Close', 'INSP')","('High', 'INSP')","('Low', 'INSP')","('Open', 'INSP')","('Volume', 'INSP')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,184.57000732421875,198.07000732421875,182.6100006103516,187.83999633789065,1123000.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,181.66000366210935,181.67999267578125,163.57000732421875,165.3000030517578,1670900.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,165.0,179.4499969482422,163.63999938964844,173.22999572753906,767400.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,170.6300048828125,176.6699981689453,170.24000549316406,175.64999389648438,719800.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,191.66000366210935,196.0030059814453,183.25999450683597,191.72999572753903,952000.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,188.5,195.60499572753903,188.1100006103516,189.8800048828125,572400.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,190.50999450683597,192.5200042724609,186.3600006103516,191.0500030517578,442700.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,190.30999755859372,191.42999267578125,185.6999969482422,188.75,339100.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,190.2700042724609,193.19000244140625,184.8300018310547,185.8600006103516,375500.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,185.1199951171875,187.00999450683597,181.08999633789065,186.1000061035156,412900.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,183.72000122070312,187.8600006103516,180.8300018310547,187.66000366210935,331600.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,190.44000244140625,194.55999755859372,188.97000122070312,193.30999755859372,494700.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,197.1499938964844,201.22999572753903,193.97000122070312,200.97000122070312,464200.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,202.4900054931641,212.4900054931641,202.4900054931641,208.6499938964844,535400.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,210.7100067138672,210.7100067138672,203.0,204.6699981689453,243200.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,208.38999938964844,211.93499755859372,205.1100006103516,208.9600067138672,580100.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,215.5200042724609,217.38999938964844,209.85499572753903,213.0500030517578,675400.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,214.27999877929688,215.72999572753903,209.22000122070312,212.80999755859372,323700.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,212.5,218.3600006103516,211.3800048828125,216.6100006103516,375000.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,214.75999450683597,216.1199951171875,210.05999755859372,212.0,290800.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,212.88999938964844,216.8699951171875,205.8500061035156,210.8699951171875,429400.0,,,,,,,,,,
