Date,Open,High,Low,Close,Volume,"('Adj Close', 'VERB')","('Close', 'VERB')","('High', 'VERB')","('Low', 'VERB')","('Open', 'VERB')","('Volume', 'VERB')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,34.599998474121094,34.79999923706055,32.400001525878906,34.79999923706055,5013.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,34.0,34.0,32.400001525878906,32.400001525878906,5391.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,32.79999923706055,33.400001525878906,32.20000076293945,32.599998474121094,46095.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,26.799999237060547,29.0,25.0,28.200000762939453,39102.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,27.799999237060547,28.0,26.0,28.0,5649.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,27.0,27.799999237060547,26.600000381469727,26.799999237060547,5355.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,26.399999618530277,27.0,25.399999618530277,27.0,4975.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,26.799999237060547,26.799999237060547,25.0,26.0,3432.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,25.799999237060547,27.0,25.0,25.200000762939453,6294.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,25.200000762939453,26.399999618530277,22.799999237060547,26.0,9793.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,24.399999618530277,26.0,24.0,26.0,3307.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,25.600000381469727,26.0,24.200000762939453,25.799999237060547,2754.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,25.600000381469727,27.0,25.0,26.0,5299.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,26.600000381469727,26.799999237060547,24.399999618530277,26.399999618530277,2432.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,25.799999237060547,26.600000381469727,24.799999237060547,25.799999237060547,2094.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,25.600000381469727,27.0,25.0,26.600000381469727,2473.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,26.799999237060547,28.799999237060547,25.200000762939453,28.200000762939453,8105.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,28.0,30.0,27.0,29.0,5364.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,28.799999237060547,29.600000381469727,27.0,29.600000381469727,3397.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,29.0,31.600000381469727,28.399999618530277,31.399999618530277,7655.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,31.0,33.79999923706055,29.0,31.600000381469727,6437.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,32.599998474121094,32.599998474121094,28.600000381469727,29.600000381469727,4640.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,29.200000762939453,30.799999237060547,28.399999618530277,29.600000381469727,1661.0,,,,,,,,,,
2024-02-04 19:00:00-05:00,29.399999618530277,29.399999618530277,26.600000381469727,27.0,2015.0,,,,,,,,,,
2024-02-05 19:00:00-05:00,27.0,28.799999237060547,26.0,28.0,3127.0,,,,,,,,,,
2024-02-06 19:00:00-05:00,29.200000762939453,29.200000762939453,26.0,27.399999618530277,2261.0,,,,,,,,,,
2024-02-07 19:00:00-05:00,27.799999237060547,29.0,26.399999618530277,27.799999237060547,3600.0,,,,,,,,,,
2024-02-08 19:00:00-05:00,28.0,29.600000381469727,27.0,29.0,3302.0,,,,,,,,,,
2024-02-11 19:00:00-05:00,30.0,31.600000381469727,28.0,30.0,3247.0,,,,,,,,,,
2024-02-12 19:00:00-05:00,29.799999237060547,30.0,28.200000762939453,29.399999618530277,1197.0,,,,,,,,,,
2024-02-13 19:00:00-05:00,28.200000762939453,29.600000381469727,28.200000762939453,29.0,813.0,,,,,,,,,,
2024-02-14 19:00:00-05:00,29.0,31.0,28.0,30.600000381469727,2849.0,,,,,,,,,,
2024-02-15 19:00:00-05:00,30.600000381469727,34.0,30.0,32.0,2825.0,,,,,,,,,,
2024-02-19 19:00:00-05:00,33.0,35.0,32.0,34.79999923706055,6561.0,,,,,,,,,,
2024-02-20 19:00:00-05:00,35.400001525878906,35.400001525878906,31.0,31.799999237060547,4273.0,,,,,,,,,,
2024-02-21 19:00:00-05:00,31.0,32.0,30.200000762939453,31.600000381469727,1332.0,,,,,,,,,,
2024-02-22 19:00:00-05:00,31.0,34.0,29.399999618530277,33.79999923706055,3339.0,,,,,,,,,,
2024-02-25 19:00:00-05:00,34.0,34.0,30.200000762939453,31.600000381469727,1387.0,,,,,,,,,,
2024-02-26 19:00:00-05:00,33.400001525878906,33.400001525878906,31.600000381469727,33.0,1735.0,,,,,,,,,,
2024-02-27 19:00:00-05:00,32.0,33.0,31.0,32.599998474121094,1462.0,,,,,,,,,,
