Date,Open,High,Low,Close,Volume,"('Adj Close', 'JOBY')","('Close', 'JOBY')","('High', 'JOBY')","('Low', 'JOBY')","('Open', 'JOBY')","('Volume', 'JOBY')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,6.619999885559082,6.619999885559082,6.119999885559082,6.179999828338623,7377700.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,6.099999904632568,6.110000133514404,5.940000057220459,5.980000019073486,5570500.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,6.0,6.224999904632568,5.940000057220459,6.050000190734863,4210000.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,6.0,6.190000057220459,5.96999979019165,6.090000152587891,3068800.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,6.159999847412109,6.420000076293945,6.090000152587891,6.369999885559082,3759600.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,6.269999980926514,6.309999942779541,6.110000133514404,6.150000095367432,3313700.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,6.150000095367432,6.170000076293945,5.989999771118164,6.070000171661377,3132900.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,6.059999942779541,6.099999904632568,5.864999771118164,5.989999771118164,3640300.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,5.96999979019165,6.135000228881836,5.849999904632568,5.889999866485596,3207700.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,5.800000190734863,5.809999942779541,5.670000076293945,5.690000057220459,4645700.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,5.579999923706055,5.699999809265137,5.53000020980835,5.690000057220459,3200500.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,5.820000171661377,5.880000114440918,5.480000019073486,5.599999904632568,4879500.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,5.650000095367432,5.675000190734863,5.425000190734863,5.630000114440918,4569800.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,5.789999961853027,6.269999980926514,5.71999979019165,5.869999885559082,7450700.0,,,,,,,,,,
