Date,Open,High,Low,Close,Volume,"('Adj Close', 'WD')","('Close', 'WD')","('High', 'WD')","('Low', 'WD')","('Open', 'WD')","('Volume', 'WD')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,110.23999786376952,112.31999969482422,107.5199966430664,108.4499969482422,386600.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,106.41000366210938,106.41000366210938,101.4499969482422,102.5500030517578,409700.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,102.5500030517578,103.0199966430664,100.04000091552734,100.4000015258789,449500.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,99.58999633789062,101.41999816894533,98.55999755859376,99.2699966430664,208700.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,99.5999984741211,101.38999938964844,99.27999877929688,100.4000015258789,245500.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,98.31999969482422,99.16000366210938,96.86000061035156,97.16000366210938,215500.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,96.58999633789062,98.70999908447266,96.2300033569336,98.58000183105467,187300.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,97.7300033569336,98.63999938964844,96.16999816894533,97.4800033569336,168700.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,99.16000366210938,99.8000030517578,97.1999969482422,98.12000274658205,137600.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,96.58999633789062,97.20999908447266,94.66999816894533,97.16000366210938,148100.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,95.0,96.41000366210938,93.91999816894533,96.20999908447266,189300.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,97.0999984741211,97.0999984741211,94.7699966430664,96.7300033569336,164100.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,97.16000366210938,99.16999816894533,96.0,99.01000213623048,180100.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,100.48999786376952,101.77999877929688,100.0999984741211,100.91000366210938,259900.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,102.5,102.80999755859376,98.91000366210938,99.12000274658205,132000.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,101.1999969482422,101.1999969482422,97.83000183105467,97.97000122070312,101900.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,99.61000061035156,100.51000213623048,98.4000015258789,99.97000122070312,204100.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,100.41000366210938,101.30999755859376,99.7300033569336,100.13999938964844,185200.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,100.0,101.91000366210938,99.26000213623048,101.62000274658205,234600.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,100.36000061035156,101.58999633789062,99.51000213623048,99.75,140100.0,,,,,,,,,,
