Date,Open,High,Low,Close,Volume,"('Adj Close', 'CEG')","('Close', 'CEG')","('High', 'CEG')","('Low', 'CEG')","('Open', 'CEG')","('Volume', 'CEG')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,116.4000015258789,117.2300033569336,114.97000122070312,115.25,1362800.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,115.5,117.16600036621094,115.5,115.8499984741211,1372400.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,116.20999908447266,117.10900115966795,115.0,115.36000061035156,1348900.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,115.11000061035156,117.66200256347656,115.11000061035156,116.23999786376952,1729900.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,116.19000244140624,117.16000366210938,115.02999877929688,117.02999877929688,1351700.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,116.44000244140624,116.93000030517578,115.16999816894533,116.48999786376952,1514000.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,116.0199966430664,116.43000030517578,114.96499633789062,115.8499984741211,1090500.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,115.0,115.29000091552734,111.4800033569336,112.91000366210938,1609300.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,113.94000244140624,114.41999816894533,112.73999786376952,112.91000366210938,1556900.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,112.37000274658205,112.83499908447266,111.3000030517578,111.80999755859376,1417000.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,111.2300033569336,112.0,109.44000244140624,111.91999816894533,1484500.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,111.37000274658205,111.9000015258789,110.25,111.41000366210938,1614900.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,111.4499969482422,114.61000061035156,111.4499969482422,114.4499969482422,1684200.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,114.45999908447266,117.375,114.33000183105467,117.20999908447266,1876700.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,117.7300033569336,120.55999755859376,117.16000366210938,118.69000244140624,1929400.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,119.13999938964844,119.5199966430664,115.33999633789062,115.66999816894533,1514600.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,117.9000015258789,120.58999633789062,117.04000091552734,120.5500030517578,1425800.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,120.06999969482422,122.41000366210938,120.06999969482422,121.2699966430664,1558800.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,121.08999633789062,121.74199676513672,120.00499725341795,121.01000213623048,1801500.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,121.33000183105467,122.30999755859376,120.6999969482422,121.87999725341795,1285500.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,122.77999877929688,124.18000030517578,121.36499786376952,122.0,1666100.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,122.0,127.6999969482422,122.0,127.62999725341795,1937400.0,,,,,,,,,,
