Date,Open,High,Low,Close,Volume,"('Adj Close', 'ZBH')","('Close', 'ZBH')","('High', 'ZBH')","('Low', 'ZBH')","('Open', 'ZBH')","('Volume', 'ZBH')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,121.0199966430664,122.4000015258789,120.72000122070312,121.38999938964844,1087400.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,120.93000030517578,121.3000030517578,119.72000122070312,120.47000122070312,2325500.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,119.9000015258789,120.87999725341795,119.4000015258789,120.1999969482422,2099400.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,119.72000122070312,121.3000030517578,119.69000244140624,119.9800033569336,1391000.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,120.62999725341795,122.77999877929688,120.5199966430664,121.97000122070312,1427600.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,121.62999725341795,124.2699966430664,120.66000366210938,121.87000274658205,2921800.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,121.6999969482422,123.66999816894533,121.62000274658205,123.2300033569336,1680000.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,123.2300033569336,124.80999755859376,122.19000244140624,122.37999725341795,1643100.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,123.69000244140624,124.75,122.3499984741211,123.06999969482422,1735800.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,121.91000366210938,122.69000244140624,121.16999816894533,122.63999938964844,1450400.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,122.02999877929688,122.58000183105467,121.16000366210938,122.2300033569336,1128400.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,123.1999969482422,124.54000091552734,122.4800033569336,123.83000183105467,1801600.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,123.91999816894533,124.0500030517578,122.0199966430664,123.36000061035156,1562900.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,123.69000244140624,124.16000366210938,122.4800033569336,122.58999633789062,1405400.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,124.2699966430664,125.0,120.43000030517578,121.08000183105467,1996300.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,121.05999755859376,121.30999755859376,119.45999908447266,120.5199966430664,2376200.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,119.9800033569336,121.95999908447266,119.9800033569336,121.95999908447266,1127600.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,122.83999633789062,123.11000061035156,121.56999969482422,121.69000244140624,982800.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,121.25,122.93000030517578,120.94000244140624,122.91999816894533,1261100.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,122.87000274658205,123.1999969482422,121.9000015258789,122.37000274658205,1448600.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,124.0199966430664,127.4499969482422,124.0199966430664,125.5999984741211,2460100.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,125.43000030517578,127.25,124.13999938964844,127.25,1434500.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,126.91000366210938,127.4000015258789,125.5999984741211,126.31999969482422,1058500.0,,,,,,,,,,
