Date,Open,High,Low,Close,Volume,"('Adj Close', 'UHS')","('Close', 'UHS')","('High', 'UHS')","('Low', 'UHS')","('Open', 'UHS')","('Volume', 'UHS')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,152.8699951171875,157.82000732421875,152.5500030517578,156.41000366210938,674800.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,155.49000549316406,156.11000061035156,152.38999938964844,153.0399932861328,472200.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,153.22999572753906,154.0800018310547,151.9199981689453,152.17999267578125,599000.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,152.2100067138672,155.22000122070312,152.2100067138672,153.6999969482422,660000.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,153.82000732421875,154.74000549316406,152.67999267578125,154.41000366210938,339500.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,153.47000122070312,155.57000732421875,153.25999450683594,154.27999877929688,331700.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,153.94000244140625,157.02999877929688,153.4499969482422,156.86000061035156,335800.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,156.41000366210938,158.75,156.0399932861328,158.38999938964844,387300.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,159.0,160.36000061035156,157.69000244140625,158.58999633789062,533800.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,157.39999389648438,158.13999938964844,155.82000732421875,157.9499969482422,351000.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,156.5399932861328,158.58999633789062,154.19000244140625,154.7100067138672,392000.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,155.22000122070312,156.8800048828125,154.19000244140625,156.38999938964844,451000.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,156.77000427246094,157.82000732421875,155.5800018310547,157.80999755859375,307900.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,158.5,159.94000244140625,155.80999755859375,156.0500030517578,497700.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,155.9199981689453,156.6699981689453,152.6999969482422,153.80999755859375,676200.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,154.52000427246094,154.52000427246094,150.11000061035156,153.35000610351562,798500.0,,,,,,,,,,
