Date,Open,High,Low,Close,Volume,"('Adj Close', 'LNN')","('Close', 'LNN')","('High', 'LNN')","('Low', 'LNN')","('Open', 'LNN')","('Volume', 'LNN')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,128.6699981689453,129.67999267578125,127.1999969482422,127.69000244140624,84200.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,126.47000122070312,126.47000122070312,122.52999877929688,122.79000091552734,146400.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,121.83999633789062,133.42999267578125,121.83999633789062,131.24000549316406,157800.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,128.17999267578125,133.9600067138672,127.3499984741211,133.0,141900.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,133.6999969482422,133.6999969482422,131.75999450683594,132.8800048828125,74300.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,131.60000610351562,132.82000732421875,130.61000061035156,132.17999267578125,103500.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,132.58999633789062,132.77000427246094,130.6999969482422,131.86000061035156,82400.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,131.4600067138672,131.89999389648438,128.6699981689453,130.94000244140625,101800.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,132.99000549316406,133.88999938964844,128.85000610351562,129.27999877929688,62400.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,128.4600067138672,130.3800048828125,128.17999267578125,129.6699981689453,79900.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,127.7699966430664,128.9499969482422,126.83000183105467,126.83000183105467,71700.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,128.16000366210938,130.55999755859375,128.07000732421875,129.6199951171875,85500.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,130.24000549316406,130.24000549316406,127.8499984741211,129.6199951171875,122300.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,130.0399932861328,132.30999755859375,130.0399932861328,131.3300018310547,51800.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,132.33999633789062,133.16000366210938,131.0500030517578,132.49000549316406,50700.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,133.5800018310547,133.5800018310547,129.1300048828125,129.5,69700.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,131.3699951171875,133.25999450683594,130.10000610351562,132.75,102500.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,133.44000244140625,133.6999969482422,131.91000366210938,133.35000610351562,78900.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,133.57000732421875,134.19000244140625,131.77000427246094,133.5399932861328,48900.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,132.38999938964844,135.0500030517578,132.27999877929688,134.0800018310547,60600.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,134.44000244140625,134.44000244140625,130.10000610351562,130.11000061035156,61400.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,131.3300018310547,132.35000610351562,129.85000610351562,132.16000366210938,47500.0,,,,,,,,,,
