Date,Open,High,Low,Close,Volume,"('Adj Close', 'ALG')","('Close', 'ALG')","('High', 'ALG')","('Low', 'ALG')","('Open', 'ALG')","('Volume', 'ALG')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,208.0,209.52999877929688,205.6000061035156,205.9600067138672,57800.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,205.0500030517578,205.0500030517578,201.0500030517578,201.6300048828125,72800.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,202.63999938964844,202.8699951171875,200.4199981689453,201.2899932861328,103500.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,199.66000366210935,201.4199981689453,198.8999938964844,200.3800048828125,109500.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,201.3800048828125,201.80999755859372,199.25999450683597,201.2899932861328,50400.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,198.1699981689453,199.2100067138672,196.3800048828125,198.47000122070312,45800.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,199.1000061035156,200.25999450683597,197.57000732421875,199.82000732421875,52800.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,199.8800048828125,200.5500030517578,196.77999877929688,200.47000122070312,100700.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,202.27999877929688,203.3699951171875,201.7400054931641,203.07000732421875,85900.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,202.57000732421875,203.63999938964844,201.0399932861328,203.63999938964844,137300.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,200.8999938964844,201.97999572753903,198.2100067138672,199.44000244140625,63900.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,201.0399932861328,202.69000244140625,200.1499938964844,202.5500030517578,75400.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,203.4499969482422,205.13999938964844,200.3600006103516,205.13999938964844,75800.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,207.0,209.9199981689453,207.0,209.1100006103516,63500.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,211.44000244140625,213.8000030517578,208.6499938964844,209.6100006103516,46100.0,,,,,,,,,,
